,FA_20240301_2H_yeast_1.3.2.1r#1,FA_20240301_2H_yeast_1.3.3.1r#2,FA_20240301_2H_yeast_1.3.4.1r#3,FA_20240301_2H_yeast_1.3.5.1r#4,FA_20240301_2H_yeast_1.3.6.1r#5,FA_20240301_2H_yeast_1.3.7.1r#6,FA_20240301_2H_yeast_1.3.8.1r#7,FA_20240301_2H_yeast_1.3.9.1r#8,FA_20240301_2H_yeast_1.3.10.1r#9,FA_20240301_2H_yeast_1.3.11.1r#10,FA_20240301_2H_yeast_1.3.12.1r#11,FA_20240301_2H_yeast_1.3.13.1r#12,FA_20240301_2H_yeast_1.3.14.1r#13,FA_20240301_2H_yeast_1.3.15.1r#14,FA_20240301_2H_yeast_1.3.16.1r#15,FA_20240301_2H_yeast_1.3.17.1r#16,FA_20240301_2H_yeast_1.3.18.1r#17,FA_20240301_2H_yeast_1.3.19.1r#18,FA_20240301_2H_yeast_1.3.20.1r#19,FA_20240301_2H_yeast_1.3.21.1r#20,FA_20240301_2H_yeast_1.3.22.1r#21,FA_20240301_2H_yeast_1.3.23.1r#22,FA_20240301_2H_yeast_1.3.24.1r#23,FA_20240301_2H_yeast_1.3.25.1r#24,FA_20240301_2H_yeast_1.3.26.1r#25,FA_20240301_2H_yeast_1.3.27.1r#26,FA_20240301_2H_yeast_1.3.28.1r#27,FA_20240301_2H_yeast_1.3.29.1r#28,FA_20240301_2H_yeast_1.3.30.1r#29,FA_20240301_2H_yeast_1.3.31.1r#30,FA_20240301_2H_yeast_1.3.32.1r#31,FA_20240301_2H_yeast_1.3.33.1r#32,FA_20240301_2H_yeast_1.3.34.1r#33,FA_20240301_2H_yeast_1.3.35.1r#34,FA_20240301_2H_yeast_1.3.36.1r#35,FA_20240301_2H_yeast_1.3.37.1r#36,FA_20240301_2H_yeast_1.3.38.1r#37,FA_20240301_2H_yeast_1.3.39.1r#38,FA_20240301_2H_yeast_1.3.40.1r#39,FA_20240301_2H_yeast_1.3.41.1r#40,FA_20240301_2H_yeast_1.3.42.1r#41,FA_20240301_2H_yeast_1.3.43.1r#42,FA_20240301_2H_yeast_1.3.44.1r#43,FA_20240301_2H_yeast_1.3.45.1r#44,FA_20240301_2H_yeast_1.3.46.1r#45,FA_20240301_2H_yeast_1.3.47.1r#46,FA_20240301_2H_yeast_1.3.48.1r#47,FA_20240301_2H_yeast_1.3.49.1r#48,FA_20240301_2H_yeast_1.3.50.1r#49,FA_20240301_2H_yeast_1.3.51.1r#50,FA_20240301_2H_yeast_1.3.52.1r#51,FA_20240301_2H_yeast_1.3.53.1r#52,FA_20240301_2H_yeast_1.3.54.1r#53,FA_20240301_2H_yeast_1.3.55.1r#54,FA_20240301_2H_yeast_1.3.56.1r#55,FA_20240301_2H_yeast_1.3.57.1r#56,FA_20240301_2H_yeast_1.3.58.1r#57,FA_20240301_2H_yeast_1.3.59.1r#58,FA_20240301_2H_yeast_1.3.60.1r#59
4.58800,3.50872e+7,3.77489e+7,3.80463e+7,3.72945e+7,4.04537e+7,4.28051e+7,4.15187e+7,4.37483e+7,4.07516e+7,4.15859e+7,4.10751e+7,4.33528e+7,4.10882e+7,4.12693e+7,4.18295e+7,3.95060e+7,4.38522e+7,4.02869e+7,4.16123e+7,4.01094e+7,4.38721e+7,4.15346e+7,3.63766e+7,4.00817e+7,3.99885e+7,4.05195e+7,4.27703e+7,4.29364e+7,4.95554e+7,5.02045e+7,4.69083e+7,5.12396e+7,4.69777e+7,4.51671e+7,4.38281e+7,4.31687e+7,4.54466e+7,4.37019e+7,4.38017e+7,4.61773e+7,4.80987e+7,4.51153e+7,3.92525e+7,4.68973e+7,4.58494e+7,4.62843e+7,4.44215e+7,4.54137e+7,4.57189e+7,4.00795e+7,4.38924e+7,4.30471e+7,4.16942e+7,4.33853e+7,4.51417e+7,4.04983e+7,4.01495e+7,4.04961e+7,4.47965e+7
4.59004,3.59376e+7,3.88588e+7,3.89907e+7,3.81930e+7,4.12698e+7,4.39738e+7,4.23706e+7,4.45083e+7,4.16089e+7,4.25513e+7,4.21608e+7,4.43339e+7,4.21434e+7,4.22139e+7,4.27466e+7,4.03367e+7,4.46630e+7,4.11589e+7,4.24599e+7,4.08369e+7,4.47162e+7,4.22499e+7,3.71967e+7,4.07083e+7,4.05871e+7,4.14018e+7,4.36628e+7,4.38601e+7,5.06249e+7,5.10958e+7,4.77580e+7,5.23547e+7,4.79354e+7,4.59297e+7,4.47453e+7,4.40059e+7,4.62099e+7,4.45946e+7,4.49903e+7,4.72682e+7,4.90885e+7,4.62660e+7,4.02656e+7,4.80860e+7,4.67088e+7,4.74944e+7,4.55475e+7,4.64939e+7,4.66106e+7,4.10475e+7,4.47103e+7,4.39829e+7,4.26813e+7,4.43463e+7,4.60784e+7,4.13659e+7,4.09620e+7,4.14988e+7,4.59059e+7
4.59207,3.68298e+7,4.00334e+7,3.99817e+7,3.91401e+7,4.21394e+7,4.51777e+7,4.32651e+7,4.53146e+7,4.25293e+7,4.35558e+7,4.32899e+7,4.53458e+7,4.32415e+7,4.32027e+7,4.37023e+7,4.12156e+7,4.55113e+7,4.20676e+7,4.33374e+7,4.16009e+7,4.55966e+7,4.29730e+7,3.80511e+7,4.13569e+7,4.12389e+7,4.23133e+7,4.45712e+7,4.48192e+7,5.17079e+7,5.20032e+7,4.86477e+7,5.35111e+7,4.89094e+7,4.67132e+7,4.56983e+7,4.48630e+7,4.70182e+7,4.55196e+7,4.62214e+7,4.83802e+7,5.01318e+7,4.74528e+7,4.13377e+7,4.93026e+7,4.76280e+7,4.87285e+7,4.67255e+7,4.76130e+7,4.75422e+7,4.20652e+7,4.55669e+7,4.49451e+7,4.37108e+7,4.53568e+7,4.70400e+7,4.22539e+7,4.18197e+7,4.25372e+7,4.70464e+7
4.59411,3.77669e+7,4.12725e+7,4.10242e+7,4.01410e+7,4.30657e+7,4.64157e+7,4.42069e+7,4.61739e+7,4.35163e+7,4.46021e+7,4.44645e+7,4.63900e+7,4.43822e+7,4.42374e+7,4.46964e+7,4.21417e+7,4.63995e+7,4.30139e+7,4.42485e+7,4.24027e+7,4.65122e+7,4.37080e+7,3.89384e+7,4.20304e+7,4.19435e+7,4.32550e+7,4.54942e+7,4.58117e+7,5.28032e+7,5.29274e+7,4.95796e+7,5.47079e+7,4.99004e+7,4.75176e+7,4.66853e+7,4.57418e+7,4.78731e+7,4.64808e+7,4.74942e+7,4.95167e+7,5.12295e+7,4.86767e+7,4.24706e+7,5.05485e+7,4.86114e+7,4.99846e+7,4.79560e+7,4.87749e+7,4.85186e+7,4.31350e+7,4.64648e+7,4.59374e+7,4.47850e+7,4.64200e+7,4.80290e+7,4.31655e+7,4.27226e+7,4.36120e+7,4.82194e+7
4.59614,3.87520e+7,4.25749e+7,4.21233e+7,4.12012e+7,4.40516e+7,4.76870e+7,4.52009e+7,4.70928e+7,4.45726e+7,4.56935e+7,4.56866e+7,4.74681e+7,4.55656e+7,4.53195e+7,4.57286e+7,4.31143e+7,4.73298e+7,4.39987e+7,4.51971e+7,4.32434e+7,4.74616e+7,4.44596e+7,3.98582e+7,4.27322e+7,4.27000e+7,4.42274e+7,4.64314e+7,4.68356e+7,5.39108e+7,5.38699e+7,5.05549e+7,5.59442e+7,5.09095e+7,4.83426e+7,4.77045e+7,4.66444e+7,4.87760e+7,4.74824e+7,4.88080e+7,5.06821e+7,5.23823e+7,4.99394e+7,4.36658e+7,5.18255e+7,4.96633e+7,5.12621e+7,4.92385e+7,4.99842e+7,4.95446e+7,4.42593e+7,4.74074e+7,4.69637e+7,4.59060e+7,4.75389e+7,4.90487e+7,4.41047e+7,4.36711e+7,4.47236e+7,4.94269e+7
4.59818,3.97883e+7,4.39389e+7,4.32837e+7,4.23259e+7,4.50996e+7,4.89917e+7,4.62520e+7,4.80781e+7,4.57005e+7,4.68337e+7,4.69579e+7,4.85821e+7,4.67920e+7,4.64512e+7,4.67984e+7,4.41327e+7,4.83041e+7,4.50227e+7,4.61866e+7,4.41244e+7,4.84433e+7,4.52329e+7,4.08101e+7,4.34657e+7,4.35078e+7,4.52314e+7,4.73832e+7,4.78888e+7,5.50318e+7,5.48326e+7,5.15743e+7,5.72182e+7,5.19388e+7,4.91880e+7,4.87540e+7,4.75728e+7,4.97273e+7,4.85286e+7,5.01631e+7,5.18814e+7,5.35904e+7,5.12433e+7,4.49246e+7,5.31361e+7,5.07875e+7,5.25618e+7,5.05724e+7,5.12454e+7,5.06246e+7,4.54410e+7,4.83984e+7,4.80288e+7,4.70766e+7,4.87173e+7,5.01023e+7,4.50761e+7,4.46656e+7,4.58728e+7,5.06706e+7
4.60022,4.08796e+7,4.53622e+7,4.45100e+7,4.35198e+7,4.62124e+7,5.03304e+7,4.73654e+7,4.91363e+7,4.69017e+7,4.80266e+7,4.82797e+7,4.97340e+7,4.80623e+7,4.76349e+7,4.79056e+7,4.51969e+7,4.93243e+7,4.60869e+7,4.72206e+7,4.50470e+7,4.94559e+7,4.60336e+7,4.17948e+7,4.42346e+7,4.43664e+7,4.62672e+7,4.83509e+7,4.89694e+7,5.61685e+7,5.58180e+7,5.26381e+7,5.85283e+7,5.29904e+7,5.00540e+7,4.98323e+7,4.85297e+7,5.07269e+7,4.96238e+7,5.15602e+7,5.31205e+7,5.48539e+7,5.25916e+7,4.62482e+7,5.44830e+7,5.19870e+7,5.38859e+7,5.19566e+7,5.25628e+7,5.17627e+7,4.66829e+7,4.94421e+7,4.91375e+7,4.82994e+7,4.99589e+7,5.11934e+7,4.60846e+7,4.57072e+7,4.70607e+7,5.19527e+7
4.60225,4.20302e+7,4.68425e+7,4.58066e+7,4.47871e+7,4.73926e+7,5.17047e+7,4.85464e+7,5.02734e+7,4.81775e+7,4.92764e+7,4.96532e+7,5.09261e+7,4.93779e+7,4.88735e+7,4.90506e+7,4.63072e+7,5.03920e+7,4.71922e+7,4.83020e+7,4.60130e+7,5.04984e+7,4.68676e+7,4.28133e+7,4.50430e+7,4.52753e+7,4.73351e+7,4.93368e+7,5.00758e+7,5.73245e+7,5.68293e+7,5.37460e+7,5.98728e+7,5.40674e+7,5.09409e+7,5.09384e+7,4.95178e+7,5.17747e+7,5.07721e+7,5.30010e+7,5.44056e+7,5.61728e+7,5.39881e+7,4.76377e+7,5.58696e+7,5.32645e+7,5.52380e+7,5.33901e+7,5.39406e+7,5.29623e+7,4.79879e+7,5.05429e+7,5.02949e+7,4.95775e+7,5.12677e+7,5.23257e+7,4.71357e+7,4.67972e+7,4.82886e+7,5.32756e+7
4.60429,4.32449e+7,4.83775e+7,4.71776e+7,4.61315e+7,4.86427e+7,5.31175e+7,4.98002e+7,5.14952e+7,4.95287e+7,5.05873e+7,5.10799e+7,5.21612e+7,5.07411e+7,5.01705e+7,5.02342e+7,4.74652e+7,5.15089e+7,4.83397e+7,4.94334e+7,4.70245e+7,5.15702e+7,4.77407e+7,4.38672e+7,4.58948e+7,4.62347e+7,4.84352e+7,5.03440e+7,5.12067e+7,5.85038e+7,5.78698e+7,5.48975e+7,6.12502e+7,5.51728e+7,5.18498e+7,5.20719e+7,5.05400e+7,5.28701e+7,5.19776e+7,5.44876e+7,5.57431e+7,5.75469e+7,5.54374e+7,4.90938e+7,5.72997e+7,5.46219e+7,5.66233e+7,5.48719e+7,5.53822e+7,5.42262e+7,4.93587e+7,5.17054e+7,5.15058e+7,5.09138e+7,5.26480e+7,5.35032e+7,4.82351e+7,4.79377e+7,4.95587e+7,5.46420e+7
4.60633,4.45292e+7,4.99654e+7,4.86267e+7,4.75562e+7,4.99658e+7,5.45726e+7,5.11322e+7,5.28068e+7,5.09562e+7,5.19638e+7,5.25611e+7,5.34427e+7,5.21546e+7,5.15295e+7,5.14584e+7,4.86731e+7,5.26768e+7,4.95305e+7,5.06171e+7,4.80839e+7,5.26715e+7,4.86590e+7,4.49585e+7,4.67944e+7,4.72449e+7,4.95674e+7,5.13761e+7,5.23612e+7,5.97110e+7,5.89434e+7,5.60921e+7,6.26595e+7,5.63099e+7,5.27823e+7,5.32333e+7,5.15999e+7,5.40126e+7,5.32444e+7,5.60232e+7,5.71392e+7,5.89766e+7,5.69444e+7,5.06170e+7,5.87776e+7,5.60607e+7,5.80479e+7,5.64016e+7,5.68903e+7,5.55566e+7,5.07981e+7,5.29341e+7,5.27749e+7,5.23116e+7,5.41037e+7,5.47299e+7,4.93887e+7,4.91315e+7,5.08733e+7,5.60547e+7
