,FA_20240301_2H_yeast_1.3.2.1r#1,FA_20240301_2H_yeast_1.3.3.1r#2,FA_20240301_2H_yeast_1.3.4.1r#3,FA_20240301_2H_yeast_1.3.5.1r#4,FA_20240301_2H_yeast_1.3.6.1r#5,FA_20240301_2H_yeast_1.3.7.1r#6,FA_20240301_2H_yeast_1.3.8.1r#7,FA_20240301_2H_yeast_1.3.9.1r#8,FA_20240301_2H_yeast_1.3.10.1r#9,FA_20240301_2H_yeast_1.3.11.1r#10,FA_20240301_2H_yeast_1.3.12.1r#11,FA_20240301_2H_yeast_1.3.13.1r#12,FA_20240301_2H_yeast_1.3.14.1r#13,FA_20240301_2H_yeast_1.3.15.1r#14,FA_20240301_2H_yeast_1.3.16.1r#15,FA_20240301_2H_yeast_1.3.17.1r#16,FA_20240301_2H_yeast_1.3.18.1r#17,FA_20240301_2H_yeast_1.3.19.1r#18,FA_20240301_2H_yeast_1.3.20.1r#19,FA_20240301_2H_yeast_1.3.21.1r#20,FA_20240301_2H_yeast_1.3.22.1r#21,FA_20240301_2H_yeast_1.3.23.1r#22,FA_20240301_2H_yeast_1.3.24.1r#23,FA_20240301_2H_yeast_1.3.25.1r#24,FA_20240301_2H_yeast_1.3.26.1r#25,FA_20240301_2H_yeast_1.3.27.1r#26,FA_20240301_2H_yeast_1.3.28.1r#27,FA_20240301_2H_yeast_1.3.29.1r#28,FA_20240301_2H_yeast_1.3.30.1r#29,FA_20240301_2H_yeast_1.3.31.1r#30,FA_20240301_2H_yeast_1.3.32.1r#31,FA_20240301_2H_yeast_1.3.33.1r#32,FA_20240301_2H_yeast_1.3.34.1r#33,FA_20240301_2H_yeast_1.3.35.1r#34,FA_20240301_2H_yeast_1.3.36.1r#35,FA_20240301_2H_yeast_1.3.37.1r#36,FA_20240301_2H_yeast_1.3.38.1r#37,FA_20240301_2H_yeast_1.3.39.1r#38,FA_20240301_2H_yeast_1.3.40.1r#39,FA_20240301_2H_yeast_1.3.41.1r#40,FA_20240301_2H_yeast_1.3.42.1r#41,FA_20240301_2H_yeast_1.3.43.1r#42,FA_20240301_2H_yeast_1.3.44.1r#43,FA_20240301_2H_yeast_1.3.45.1r#44,FA_20240301_2H_yeast_1.3.46.1r#45,FA_20240301_2H_yeast_1.3.47.1r#46,FA_20240301_2H_yeast_1.3.48.1r#47,FA_20240301_2H_yeast_1.3.49.1r#48,FA_20240301_2H_yeast_1.3.50.1r#49,FA_20240301_2H_yeast_1.3.51.1r#50,FA_20240301_2H_yeast_1.3.52.1r#51,FA_20240301_2H_yeast_1.3.53.1r#52,FA_20240301_2H_yeast_1.3.54.1r#53,FA_20240301_2H_yeast_1.3.55.1r#54,FA_20240301_2H_yeast_1.3.56.1r#55,FA_20240301_2H_yeast_1.3.57.1r#56,FA_20240301_2H_yeast_1.3.58.1r#57,FA_20240301_2H_yeast_1.3.59.1r#58,FA_20240301_2H_yeast_1.3.60.1r#59
-0.351971,-109799,-983052,-188755,2.32339e+6,885394,3.72020e+6,-100961,4.38930e+6,6.14196e+6,2.74132e+6,2.35687e+6,4.84342e+6,1.60650e+6,-693595,2.81741e+6,-942939,2.90471e+6,4.37983e+6,1.09747e+6,785539,1.62229e+6,-59563.9,1.74424e+6,-1.42304e+6,2.47817e+6,2.08454e+6,6.87032e+6,1.07085e+6,508788,5.98507e+6,-2.38487e+6,2.11157e+6,1.75346e+6,1.93674e+6,3.13389e+6,1.43759e+6,1.08986e+6,3.45155e+6,268050,1.54103e+6,3.29338e+6,-310.747,-1.62217e+6,1.04837e+6,43245.1,744913,4.68455e+6,482863,1.29414e+6,959710,-3.68262e+6,393532,1.09597e+6,1.98568e+6,3.23065e+6,1.31612e+6,-9577.71,1.25778e+6,4.71793e+6
-0.349935,-38766.9,-1.06786e+6,-247231,2.23235e+6,875379,3.69233e+6,-153406,4.50815e+6,6.14428e+6,2.61343e+6,2.37459e+6,5.03784e+6,1.62383e+6,-633765,2.71531e+6,-857337,2.92857e+6,4.27792e+6,995395,891452,1.63968e+6,200771,1.73028e+6,-1.37195e+6,2.31376e+6,2.26537e+6,7.03791e+6,1.31104e+6,478082,5.94429e+6,-2.23755e+6,2.07129e+6,1.87110e+6,1.85960e+6,3.19515e+6,1.42105e+6,1.08467e+6,3.45177e+6,215334,1.52222e+6,2.99199e+6,212383,-1.56563e+6,1.05623e+6,83750.2,663862,4.80557e+6,364839,1.45656e+6,923130,-3.84443e+6,305089,1.10324e+6,1.98459e+6,3.14109e+6,1.42030e+6,-116078,1.23532e+6,4.69795e+6
-0.347898,28990.2,-1.14044e+6,-306640,2.14926e+6,873063,3.65686e+6,-201624,4.62386e+6,6.13660e+6,2.47768e+6,2.38477e+6,5.22630e+6,1.61482e+6,-564064,2.60704e+6,-768297,2.94561e+6,4.17688e+6,897889,985794,1.66446e+6,471704,1.70695e+6,-1.31947e+6,2.14664e+6,2.43146e+6,7.19720e+6,1.55794e+6,458835,5.88891e+6,-2.09598e+6,2.02534e+6,1.96543e+6,1.78187e+6,3.26705e+6,1.40395e+6,1.06938e+6,3.47026e+6,159583,1.50350e+6,2.68124e+6,432548,-1.51016e+6,1.06789e+6,128514,574347,4.91892e+6,250548,1.61771e+6,883097,-3.98472e+6,226852,1.11989e+6,1.98568e+6,3.06689e+6,1.54689e+6,-217934,1.20451e+6,4.68051e+6
-0.345862,92347.8,-1.20123e+6,-367469,2.07477e+6,876810,3.61502e+6,-243284,4.73805e+6,6.11895e+6,2.33448e+6,2.38594e+6,5.40752e+6,1.57814e+6,-486946,2.49106e+6,-678086,2.95643e+6,4.07836e+6,805938,1.06824e+6,1.69672e+6,750073,1.67460e+6,-1.26459e+6,1.97992e+6,2.58008e+6,7.34570e+6,1.80754e+6,450832,5.81595e+6,-1.96144e+6,1.97180e+6,2.03598e+6,1.70422e+6,3.34825e+6,1.38816e+6,1.04539e+6,3.50464e+6,101630,1.48653e+6,2.36440e+6,655176,-1.45805e+6,1.08542e+6,176374,479290,5.02203e+6,141600,1.77796e+6,840132,-4.10202e+6,158888,1.14659e+6,1.99246e+6,3.00916e+6,1.69261e+6,-314683,1.16785e+6,4.66652e+6
-0.343826,150216,-1.25111e+6,-430149,2.00889e+6,885053,3.56800e+6,-276310,4.85240e+6,6.09132e+6,2.18421e+6,2.37694e+6,5.58044e+6,1.51318e+6,-404579,2.36601e+6,-588347,2.96160e+6,3.98394e+6,720446,1.13870e+6,1.73657e+6,1.03221e+6,1.63348e+6,-1.20634e+6,1.81676e+6,2.70876e+6,7.48101e+6,2.05538e+6,453356,5.72341e+6,-1.83554e+6,1.90894e+6,2.08276e+6,1.62748e+6,3.43665e+6,1.37573e+6,1.01483e+6,3.55193e+6,42148.5,1.47277e+6,2.04516e+6,875705,-1.41105e+6,1.11043e+6,225855,381573,5.11250e+6,39721.3,1.93772e+6,794905,-4.19536e+6,100927,1.18368e+6,2.00842e+6,2.96837e+6,1.85389e+6,-406085,1.12821e+6,4.65701e+6
-0.341790,201623,-1.29135e+6,-494879,1.95106e+6,896414,3.51691e+6,-298884,4.96843e+6,6.05371e+6,2.02719e+6,2.35706e+6,5.74417e+6,1.42016e+6,-318694,2.23090e+6,-500087,2.96157e+6,3.89516e+6,642185,1.19725e+6,1.78402e+6,1.31407e+6,1.58368e+6,-1.14394e+6,1.66026e+6,2.81537e+6,7.60103e+6,2.29677e+6,465238,5.61045e+6,-1.72009e+6,1.83545e+6,2.10605e+6,1.55280e+6,3.52959e+6,1.36869e+6,980394,3.60883e+6,-18282.4,1.46335e+6,1.72738e+6,1.09022e+6,-1.37025e+6,1.14403e+6,275253,283926,5.18823e+6,-53298.9,2.09729e+6,748167,-4.26430e+6,52396.7,1.23116e+6,2.03689e+6,2.94441e+6,2.02714e+6,-492059,1.08852e+6,4.65304e+6
-0.339753,245803,-1.32350e+6,-561590,1.90022e+6,909826,3.46262e+6,-309397,5.08721e+6,6.00607e+6,1.86376e+6,2.32606e+6,5.89797e+6,1.30008e+6,-230581,2.08536e+6,-413748,2.95652e+6,3.81335e+6,571772,1.24408e+6,1.83899e+6,1.59139e+6,1.52529e+6,-1.07699e+6,1.51324e+6,2.89824e+6,7.70406e+6,2.52711e+6,484876,5.47755e+6,-1.61686e+6,1.75057e+6,2.10626e+6,1.48179e+6,3.62410e+6,1.36885e+6,945125,3.67188e+6,-79029.5,1.45903e+6,1.41505e+6,1.29564e+6,-1.33610e+6,1.18686e+6,322762,188827,5.24744e+6,-135680,2.25683e+6,700688,-4.30900e+6,12432.6,1.28864e+6,2.08072e+6,2.93668e+6,2.20906e+6,-572559,1.05149e+6,4.65552e+6
-0.337717,282367,-1.34925e+6,-629935,1.85500e+6,924590,3.40579e+6,-306468,5.20925e+6,5.94837e+6,1.69427e+6,2.28426e+6,6.04128e+6,1.15462e+6,-141136,1.92977e+6,-329348,2.94653e+6,3.73959e+6,509623,1.27947e+6,1.90127e+6,1.85989e+6,1.45846e+6,-1.00551e+6,1.37806e+6,2.95621e+6,7.78889e+6,2.74223e+6,510324,5.32651e+6,-1.52736e+6,1.65428e+6,2.08371e+6,1.41647e+6,3.71711e+6,1.37773e+6,912174,3.73769e+6,-139352,1.46019e+6,1.11211e+6,1.48981e+6,-1.30841e+6,1.23914e+6,366631,98455.4,5.28877e+6,-205757,2.41619e+6,653226,-4.33018e+6,-20033.1,1.35532e+6,2.14215e+6,2.94417e+6,2.39680e+6,-647468,1.01931e+6,4.66504e+6
-0.335681,311351,-1.37029e+6,-699344,1.81389e+6,940401,3.34681e+6,-288870,5.33432e+6,5.88065e+6,1.51918e+6,2.23260e+6,6.17378e+6,986062,-50962.2,1.76533e+6,-246593,2.93156e+6,3.67469e+6,455901,1.30380e+6,1.97043e+6,2.11545e+6,1.38354e+6,-930012,1.25654e+6,2.98879e+6,7.85487e+6,2.93862e+6,539353,5.16029e+6,-1.45251e+6,1.54739e+6,2.03853e+6,1.35917e+6,3.80571e+6,1.39646e+6,884574,3.80315e+6,-198337,1.46682e+6,822244,1.67150e+6,-1.28652e+6,1.30068e+6,405336,14650.5,5.31121e+6,-262099,2.57484e+6,606502,-4.32918e+6,-46172.0,1.43001e+6,2.22259e+6,2.96548e+6,2.58801e+6,-716498,993451,4.68164e+6
-0.333645,333347,-1.38812e+6,-769130,1.77542e+6,957361,3.28581e+6,-255545,5.46149e+6,5.80313e+6,1.33910e+6,2.17254e+6,6.29528e+6,797123,39485.3,1.59407e+6,-165048,2.91170e+6,3.61920e+6,410566,1.31759e+6,2.04591e+6,2.35434e+6,1.30120e+6,-851446,1.14984e+6,2.99615e+6,7.90189e+6,3.11362e+6,569556,4.98281e+6,-1.39241e+6,1.43151e+6,1.97057e+6,1.31235e+6,3.88731e+6,1.42579e+6,865035,3.86547e+6,-254903,1.47859e+6,548793,1.84034e+6,-1.26938e+6,1.37099e+6,437763,-61103.6,5.31411e+6,-303590,2.73183e+6,561245,-4.30781e+6,-67156.6,1.51116e+6,2.32254e+6,2.99891e+6,2.78081e+6,-779067,974577,4.70474e+6
-0.331608,349565,-1.40392e+6,-838625,1.73827e+6,975926,3.22269e+6,-205625,5.58918e+6,5.71626e+6,1.15486e+6,2.10608e+6,6.40581e+6,590828,129765,1.41863e+6,-84214.3,2.88729e+6,3.57338e+6,373370,1.32151e+6,2.12703e+6,2.57336e+6,1.21252e+6,-771070,1.05844e+6,2.97919e+6,7.93028e+6,3.26558e+6,598473,4.79861e+6,-1.34616e+6,1.30901e+6,1.87944e+6,1.27833e+6,3.95984e+6,1.46614e+6,855784,3.92228e+6,-307880,1.49497e+6,294557,1.99674e+6,-1.25581e+6,1.44929e+6,463261,-127673,5.29716e+6,-329576,2.88570e+6,518226,-4.26835e+6,-84038.2,1.59694e+6,2.44158e+6,3.04248e+6,2.97368e+6,-834277,962460,4.73296e+6
-0.329572,361840,-1.41853e+6,-907291,1.70145e+6,996815,3.15716e+6,-138429,5.71536e+6,5.62075e+6,967556,2.03556e+6,6.50555e+6,370358,219357,1.24213e+6,-3597.37,2.85916e+6,3.53731e+6,343925,1.31645e+6,2.21313e+6,2.76994e+6,1.11898e+6,-690272,982188,2.93945e+6,7.94079e+6,3.39381e+6,623722,4.61246e+6,-1.31187e+6,1.18286e+6,1.76455e+6,1.25907e+6,4.02176e+6,1.51763e+6,858452,3.97167e+6,-356112,1.51527e+6,61726.8,2.14177e+6,-1.24464e+6,1.53456e+6,481736,-184264,5.26036e+6,-339902,3.03444e+6,478323,-4.21339e+6,-97675.9,1.68537e+6,2.57839e+6,3.09391e+6,3.16526e+6,-880910,956091,4.76423e+6
-0.327536,372617,-1.43234e+6,-974821,1.66426e+6,1.02097e+6,3.08876e+6,-53556.9,5.83773e+6,5.51762e+6,778496,1.96357e+6,6.59473e+6,138963,307637,1.06789e+6,77277.6,2.82867e+6,3.51089e+6,321725,1.30353e+6,2.30363e+6,2.94232e+6,1.02248e+6,-610339,920380,2.87908e+6,7.93449e+6,3.49862e+6,643159,4.42905e+6,-1.28669e+6,1.05643e+6,1.62535e+6,1.25583e+6,4.07215e+6,1.58017e+6,873986,4.01213e+6,-398614,1.53878e+6,-148197,2.27698e+6,-1.23485e+6,1.62558e+6,493576,-230416,5.20414e+6,-334956,3.17558e+6,442612,-4.14566e+6,-108693,1.77450e+6,2.73093e+6,3.15074e+6,3.35426e+6,-917497,953822,4.79583e+6
-0.325500,384828,-1.44543e+6,-1.04114e+6,1.62639e+6,1.04946e+6,3.01706e+6,49033.6,5.95394e+6,5.40813e+6,589216,1.89268e+6,6.67360e+6,-100110,393879,899095,158854,2.79783e+6,3.49398e+6,306184,1.28400e+6,2.39819e+6,3.08957e+6,925228,-532260,871874,2.80066e+6,7.91264e+6,3.58114e+6,655012,4.25260e+6,-1.26711e+6,933257,1.46154e+6,1.26905e+6,4.11064e+6,1.65348e+6,902621,4.04249e+6,-434697,1.56486e+6,-334395,2.40427e+6,-1.22573e+6,1.72098e+6,499585,-265916,5.12942e+6,-315673,3.30621e+6,412351,-4.06786e+6,-117495,1.86255e+6,2.89667e+6,3.21028e+6,3.53923e+6,-942501,953555,4.82463e+6
-0.323463,401770,-1.45761e+6,-1.10639e+6,1.58779e+6,1.08344e+6,2.94171e+6,168930,6.06179e+6,5.29374e+6,401430,1.82532e+6,6.74232e+6,-343650,477314,738588,241603,2.76918e+6,3.48639e+6,296628,1.25929e+6,2.49669e+6,3.21167e+6,829681,-456529,835219,2.70714e+6,7.87668e+6,3.64320e+6,658008,4.08667e+6,-1.24924e+6,816769,1.27324e+6,1.29820e+6,4.13734e+6,1.73712e+6,943885,4.06191e+6,-464053,1.59304e+6,-496679,2.52570e+6,-1.21689e+6,1.81930e+6,500818,-290779,5.03769e+6,-283480,3.42318e+6,389022,-3.98242e+6,-124310,1.94813e+6,3.07279e+6,3.26975e+6,3.71859e+6,-954520,953019,4.84735e+6
-0.321427,426833,-1.46851e+6,-1.17089e+6,1.54859e+6,1.12409e+6,2.86267e+6,305153,6.15934e+6,5.17608e+6,216953,1.76357e+6,6.80092e+6,-588502,557210,588573,326056,2.74569e+6,3.48798e+6,292274,1.23082e+6,2.59927e+6,3.30947e+6,738389,-383070,808771,2.60169e+6,7.82813e+6,3.68719e+6,651472,3.93392e+6,-1.22922e+6,710084,1.06130e+6,1.34168e+6,4.15277e+6,1.83044e+6,996676,4.06980e+6,-486794,1.62302e+6,-635379,2.64325e+6,-1.20831e+6,1.91906e+6,498433,-305140,4.93111e+6,-240192,3.52329e+6,374269,-3.89137e+6,-129297,2.03029e+6,3.25653e+6,3.32634e+6,3.89047e+6,-952524,949993,4.86083e+6
-0.319391,463267,-1.47773e+6,-1.23501e+6,1.50900e+6,1.17260e+6,2.78026e+6,456110,6.24499e+6,5.05688e+6,37655.5,1.70903e+6,6.84925e+6,-831520,632931,450511,412849,2.73052e+6,3.49867e+6,292220,1.19997e+6,2.70624e+6,3.38462e+6,653897,-311214,790744,2.48764e+6,7.76856e+6,3.71578e+6,635385,3.79606e+6,-1.20351e+6,615779,827380,1.39698e+6,4.15775e+6,1.93259e+6,1.05938e+6,4.06573e+6,-503389,1.65477e+6,-751221,2.75873e+6,-1.20024e+6,2.01885e+6,493526,-309206,4.81251e+6,-187885,3.60352e+6,369827,-3.79612e+6,-132635,2.10860e+6,3.44532e+6,3.37732e+6,4.05284e+6,-936078,942541,4.86236e+6
-0.317355,513928,-1.48485e+6,-1.29909e+6,1.46921e+6,1.23013e+6,2.69542e+6,619559,6.31749e+6,4.93793e+6,-134580,1.66275e+6,6.88700e+6,-1.06961e+6,703969,325018,502734,2.72678e+6,3.51842e+6,295435,1.16793e+6,2.81794e+6,3.43946e+6,578683,-239809,779285,2.36836e+6,7.69955e+6,3.73180e+6,610400,3.67377e+6,-1.16926e+6,535781,574066,1.46075e+6,4.15333e+6,2.04240e+6,1.13005e+6,4.04938e+6,-514601,1.68845e+6,-845145,2.87362e+6,-1.19312e+6,2.11742e+6,487008,-303200,4.68534e+6,-128733,3.66132e+6,377433,-3.69748e+6,-134622,2.18310e+6,3.63704e+6,3.42012e+6,4.20360e+6,-905485,929186,4.84997e+6
-0.315318,581029,-1.48944e+6,-1.36335e+6,1.42928e+6,1.29780e+6,2.60964e+6,792663,6.37584e+6,4.82106e+6,-297933,1.62522e+6,6.91375e+6,-1.29969e+6,769985,211905,596592,2.73728e+6,3.54725e+6,300734,1.13574e+6,2.93458e+6,3.47676e+6,515069,-167347,772473,2.24720e+6,7.62264e+6,3.73800e+6,577815,3.56682e+6,-1.12445e+6,471236,304870,1.52908e+6,4.14071e+6,2.15846e+6,1.20660e+6,4.02047e+6,-521304,1.72437e+6,-918200,2.98900e+6,-1.18743e+6,2.21374e+6,479500,-287358,4.55349e+6,-64825.5,3.69482e+6,398692,-3.59558e+6,-135759,2.25427e+6,3.83012e+6,3.45246e+6,4.34073e+6,-861841,908985,4.82257e+6
-0.313282,665991,-1.49102e+6,-1.42777e+6,1.38913e+6,1.37663e+6,2.52501e+6,972079,6.41930e+6,4.70811e+6,-450665,1.59641e+6,6.92901e+6,-1.51874e+6,830769,110286,695388,2.76424e+6,3.58519e+6,306804,1.10419e+6,3.05607e+6,3.49949e+6,465167,-92191.0,768344,2.12738e+6,7.53932e+6,3.73689e+6,539518,3.47413e+6,-1.06799e+6,422546,24145.6,1.59784e+6,4.12121e+6,2.27903e+6,1.28707e+6,3.97863e+6,-524375,1.76292e+6,-971414,3.10551e+6,-1.18351e+6,2.30701e+6,471322,-261956,4.42106e+6,1963.37,3.70305e+6,434989,-3.49005e+6,-136766,2.32287e+6,4.02359e+6,3.47246e+6,4.46242e+6,-806950,881558,4.78017e+6
-0.311246,769279,-1.48901e+6,-1.49210e+6,1.34847e+6,1.46747e+6,2.44405e+6,1.15407e+6,6.44723e+6,4.60094e+6,-591190,1.57590e+6,6.93230e+6,-1.72384e+6,886238,18783.0,800116,2.80916e+6,3.63220e+6,312196,1.07395e+6,3.18186e+6,3.51053e+6,430852,-12770.7,764942,2.01187e+6,7.45097e+6,3.73058e+6,497865,3.39397e+6,-999723,389378,-263035,1.66296e+6,4.09613e+6,2.40215e+6,1.36973e+6,3.92341e+6,-524565,1.80448e+6,-1.00574e+6,3.22339e+6,-1.18144e+6,2.39668e+6,462465,-227392,4.29207e+6,70119.1,3.68604e+6,487396,-3.38017e+6,-138620,2.38988e+6,4.21706e+6,3.47874e+6,4.56725e+6,-743133,846990,4.72387e+6
-0.309210,890430,-1.48267e+6,-1.55571e+6,1.30685e+6,1.57094e+6,2.36950e+6,1.33464e+6,6.45908e+6,4.50137e+6,-718093,1.56297e+6,6.92321e+6,-1.91222e+6,936430,-64267.2,911717,2.87270e+6,3.68819e+6,315355,1.04559e+6,3.31086e+6,3.51246e+6,413655,72209.1,760372,1.90326e+6,7.35890e+6,3.72069e+6,455535,3.32415e+6,-920345,370779,-551058,1.72084e+6,4.06673e+6,2.52572e+6,1.45330e+6,3.85421e+6,-522433,1.84928e+6,-1.02210e+6,3.34257e+6,-1.18095e+6,2.48235e+6,452660,-184291,4.17015e+6,138569,3.64483e+6,556578,-3.26509e+6,-142504,2.45639e+6,4.41070e+6,3.47051e+6,4.65426e+6,-672966,805713,4.65586e+6
-0.307173,1.02805e+6,-1.47112e+6,-1.61762e+6,1.26376e+6,1.68731e+6,2.30408e+6,1.50972e+6,6.45435e+6,4.41111e+6,-830197,1.55681e+6,6.90142e+6,-2.08133e+6,981488,-140585,1.03105e+6,2.95466e+6,3.75290e+6,314646,1.01967e+6,3.44139e+6,3.50732e+6,414690,163628,752915,1.80361e+6,7.26431e+6,3.70832e+6,415370,3.26227e+6,-831295,365316,-834008,1.76857e+6,4.03412e+6,2.64762e+6,1.53688e+6,3.77036e+6,-518341,1.89740e+6,-1.02132e+6,3.46271e+6,-1.18143e+6,2.56375e+6,441446,-133612,4.05827e+6,206668,3.58146e+6,642754,-3.14405e+6,-149759,2.52353e+6,4.60508e+6,3.44758e+6,4.72300e+6,-599001,758337,4.57923e+6
-0.305137,1.17999e+6,-1.45336e+6,-1.67647e+6,1.21866e+6,1.81635e+6,2.25021e+6,1.67521e+6,6.43262e+6,4.33169e+6,-926601,1.55662e+6,6.86674e+6,-2.22891e+6,1.02170e+6,-211745,1.15875e+6,3.05397e+6,3.82597e+6,308391,996834,3.57126e+6,3.49652e+6,434517,261828,741135,1.71434e+6,7.16834e+6,3.69401e+6,380186,3.20585e+6,-734598,371208,-1.10590e+6,1.80415e+6,3.99919e+6,2.76588e+6,1.61993e+6,3.67118e+6,-512513,1.94865e+6,-1.00436e+6,3.58329e+6,-1.18199e+6,2.64059e+6,428246,-76738.3,3.95860e+6,274208,3.49877e+6,745668,-3.01657e+6,-161839,2.59242e+6,4.80104e+6,3.41037e+6,4.77350e+6,-523484,705496,4.49773e+6
-0.303101,1.34339e+6,-1.42837e+6,-1.73050e+6,1.17112e+6,1.95728e+6,2.20982e+6,1.82715e+6,6.39354e+6,4.26435e+6,-1.00666e+6,1.56175e+6,6.81908e+6,-2.35301e+6,1.05747e+6,-279059,1.29527e+6,3.16884e+6,3.90678e+6,294946,977764,3.69791e+6,3.48081e+6,473037,366576,723988,1.63617e+6,7.07201e+6,3.67782e+6,352620,3.15258e+6,-632744,386499,-1.36093e+6,1.82657e+6,3.96255e+6,2.87871e+6,1.70211e+6,3.55615e+6,-505096,2.00262e+6,-972289,3.70363e+6,-1.18165e+6,2.71252e+6,412488,-15537.4,3.87237e+6,341347,3.40030e+6,864611,-2.88261e+6,-180200,2.66413e+6,4.99944e+6,3.35986e+6,4.80622e+6,-448179,647708,4.41554e+6
-0.301064,1.51493e+6,-1.39525e+6,-1.77762e+6,1.12094e+6,2.10868e+6,2.18421e+6,1.96181e+6,6.33691e+6,4.20993e+6,-1.07003e+6,1.57170e+6,6.75853e+6,-2.45202e+6,1.08942e+6,-343528,1.44078e+6,3.29686e+6,3.99451e+6,272784,963199,3.81856e+6,3.46041e+6,529396,477074,700921,1.56908e+6,6.97626e+6,3.65940e+6,334976,3.10041e+6,-528518,409200,-1.59379e+6,1.83576e+6,3.92458e+6,2.98470e+6,1.78307e+6,3.42506e+6,-496242,2.05871e+6,-926438,3.82293e+6,-1.17950e+6,2.77907e+6,393684,47660.0,3.79995e+6,408528,3.28998e+6,998465,-2.74258e+6,-206230,2.73957e+6,5.20096e+6,3.29740e+6,4.82189e+6,-374233,585315,4.33685e+6
-0.299028,1.69102e+6,-1.35340e+6,-1.81552e+6,1.06827e+6,2.26847e+6,2.17398e+6,2.07584e+6,6.26266e+6,4.16870e+6,-1.11654e+6,1.58621e+6,6.68533e+6,-2.52474e+6,1.11823e+6,-405882,1.59515e+6,3.43513e+6,4.08803e+6,240600,953851,3.93056e+6,3.43512e+6,601955,592034,671894,1.51233e+6,6.88191e+6,3.63805e+6,329139,3.04769e+6,-424829,437418,-1.79986e+6,1.83253e+6,3.88541e+6,3.08280e+6,1.86226e+6,3.27820e+6,-486148,2.11615e+6,-868459,3.94029e+6,-1.17495e+6,2.83965e+6,371533,110124,3.74098e+6,476414,3.17200e+6,1.14577e+6,-2.59738e+6,-241121,2.81944e+6,5.40578e+6,3.22461e+6,4.82143e+6,-302174,518445,4.26554e+6
-0.296992,1.86792e+6,-1.30260e+6,-1.84177e+6,1.01369e+6,2.43399e+6,2.17910e+6,2.16641e+6,6.17091e+6,4.14038e+6,-1.14621e+6,1.60517e+6,6.59999e+6,-2.57030e+6,1.14468e+6,-466649,1.75799e+6,3.58040e+6,4.18589e+6,197426,950337,4.03158e+6,3.40458e+6,688312,709765,637382,1.46460e+6,6.78962e+6,3.61281e+6,336500,2.99315e+6,-324564,469479,-1.97544e+6,1.81831e+6,3.84503e+6,3.17232e+6,1.93877e+6,3.11642e+6,-475065,2.17414e+6,-800357,4.05472e+6,-1.16779e+6,2.89355e+6,345969,168868,3.69453e+6,545781,3.05052e+6,1.30478e+6,-2.44824e+6,-285748,2.90409e+6,5.61345e+6,3.14321e+6,4.80582e+6,-231985,447079,4.20492e+6
-0.294956,2.04197e+6,-1.24308e+6,-1.85399e+6,958227,2.60210e+6,2.19895e+6,2.23141e+6,6.06194e+6,4.12401e+6,-1.15908e+6,1.62855e+6,6.50334e+6,-2.58827e+6,1.16951e+6,-526261,1.92857e+6,3.72920e+6,4.28629e+6,142735,953124,4.11988e+6,3.36848e+6,785442,828338,598314,1.42414e+6,6.69980e+6,3.58254e+6,357945,2.93596e+6,-230381,504013,-2.11793e+6,1.79503e+6,3.80335e+6,3.25295e+6,2.01119e+6,2.94123e+6,-463229,2.23191e+6,-724500,4.16518e+6,-1.15831e+6,2.94003e+6,317228,220783,3.65932e+6,617464,2.92955e+6,1.47360e+6,-2.29663e+6,-340533,2.99346e+6,5.82266e+6,3.05485e+6,4.77607e+6,-163237,371124,4.15742e+6
-0.292919,2.20976e+6,-1.17555e+6,-1.85008e+6,903367,2.76932e+6,2.23249e+6,2.26960e+6,5.93617e+6,4.11808e+6,-1.15520e+6,1.65631e+6,6.39662e+6,-2.57865e+6,1.19328e+6,-585128,2.10586e+6,3.87805e+6,4.38707e+6,76531.0,962480,4.19456e+6,3.32680e+6,889862,945722,555990,1.38897e+6,6.61262e+6,3.54593e+6,393860,2.87570e+6,-144569,540010,-2.22587e+6,1.76490e+6,3.76027e+6,3.32468e+6,2.07770e+6,2.75470e+6,-450807,2.28877e+6,-643561,4.27063e+6,-1.14718e+6,2.97833e+6,285817,262862,3.63387e+6,692315,2.81275e+6,1.65020e+6,-2.14411e+6,-405336,3.08698e+6,6.03118e+6,2.96105e+6,4.73314e+6,-95280.7,290506,4.12453e+6
-0.290883,2.36822e+6,-1.10106e+6,-1.82842e+6,850976,2.93207e+6,2.27829e+6,2.28079e+6,5.79421e+6,4.12059e+6,-1.13452e+6,1.68832e+6,6.28150e+6,-2.54191e+6,1.21634e+6,-643690,2.28849e+6,4.02358e+6,4.48577e+6,-596.363,978502,4.25555e+6,3.28001e+6,997880,1.05994e+6,511976,1.35711e+6,6.52795e+6,3.50157e+6,444153,2.81234e+6,-68882.4,576834,-2.29901e+6,1.73028e+6,3.71574e+6,3.38777e+6,2.13606e+6,2.55938e+6,-437796,2.34414e+6,-560461,4.37007e+6,-1.13534e+6,3.00775e+6,252469,292323,3.61668e+6,771118,2.70328e+6,1.83252e+6,-1.99211e+6,-479353,3.18358e+6,6.23591e+6,2.86311e+6,4.67797e+6,-27439.7,205311,4.10675e+6
