,FA_20240108_2H_yeast_1.11.ser#1,FA_20240108_2H_yeast_1.11.ser#2,FA_20240108_2H_yeast_1.11.ser#3,FA_20240108_2H_yeast_1.11.ser#4,FA_20240108_2H_yeast_1.11.ser#5,FA_20240108_2H_yeast_1.11.ser#6,FA_20240108_2H_yeast_1.11.ser#7,FA_20240108_2H_yeast_1.11.ser#8,FA_20240108_2H_yeast_1.11.ser#9,FA_20240108_2H_yeast_1.11.ser#10,FA_20240108_2H_yeast_1.11.ser#11,FA_20240108_2H_yeast_1.11.ser#12,FA_20240108_2H_yeast_1.11.ser#13,FA_20240108_2H_yeast_1.11.ser#14,FA_20240108_2H_yeast_1.11.ser#15,FA_20240108_2H_yeast_1.11.ser#16,FA_20240108_2H_yeast_1.11.ser#17,FA_20240108_2H_yeast_1.11.ser#18,FA_20240108_2H_yeast_1.11.ser#19,FA_20240108_2H_yeast_1.11.ser#20,FA_20240108_2H_yeast_1.11.ser#21,FA_20240108_2H_yeast_1.11.ser#22,FA_20240108_2H_yeast_1.11.ser#23,FA_20240108_2H_yeast_1.11.ser#24,FA_20240108_2H_yeast_1.11.ser#25,FA_20240108_2H_yeast_1.11.ser#26,FA_20240108_2H_yeast_1.11.ser#27,FA_20240108_2H_yeast_1.11.ser#28,FA_20240108_2H_yeast_1.11.ser#29,FA_20240108_2H_yeast_1.11.ser#30,FA_20240108_2H_yeast_1.11.ser#31,FA_20240108_2H_yeast_1.11.ser#32,FA_20240108_2H_yeast_1.11.ser#33,FA_20240108_2H_yeast_1.11.ser#34,FA_20240108_2H_yeast_1.11.ser#35,FA_20240108_2H_yeast_1.11.ser#36,FA_20240108_2H_yeast_1.11.ser#37,FA_20240108_2H_yeast_1.11.ser#38,FA_20240108_2H_yeast_1.11.ser#39
3.55160,-239.300,-26.4493,2329.30,1745.02,847.357,-180.551,-555.653,540.328,1019.75,-0.584395,-325.086,607.563,1046.32,319.036,-916.842,884.878,1870.83,808.259,1019.73,622.042,-1026.50,1145.35,-555.121,104.162,-115.946,253.078,-521.331,-677.575,817.606,-476.046,-603.491,-361.933,987.067,-84.5416,1192.84,-187.958,1250.73,1390.39,-130.818
3.55974,-375.224,14.9973,2449.80,1696.42,1051.86,-190.157,-202.552,486.625,741.685,-463.027,-392.656,873.256,894.547,130.986,-791.680,640.756,1769.05,584.030,477.367,421.035,-606.619,1341.79,-480.813,206.870,98.7206,72.6606,-483.876,-297.901,657.363,-501.025,-957.005,-184.265,1172.52,189.483,1383.04,-246.077,1608.78,1620.20,-360.540
3.56789,-562.869,32.6477,2712.51,1908.56,1119.29,-140.250,50.0780,413.945,295.150,-863.170,22.3993,782.164,716.436,162.174,-285.835,531.624,1465.67,275.759,-261.736,-5.51743,-114.187,1407.73,-214.912,551.553,482.213,-217.245,-453.651,-134.981,361.557,-484.520,-1283.34,-231.488,1226.95,707.807,1222.14,-72.0709,1689.33,1838.06,-355.416
3.57603,-727.541,10.5241,2819.68,2301.93,958.946,20.1175,179.974,263.838,64.3304,-1123.23,637.540,599.332,742.922,692.529,444.691,703.120,960.979,93.1278,-931.672,-240.811,330.299,1282.30,136.518,734.302,883.575,-487.580,-346.244,-186.962,-132.671,-719.152,-1226.63,-197.598,987.372,929.693,884.200,209.483,1419.49,1751.08,-141.739
3.58418,-698.927,55.0766,2517.62,2391.73,551.084,295.567,279.164,63.8873,297.300,-1040.11,1093.43,634.173,795.866,1163.07,1064.51,975.441,598.418,5.63867,-1065.23,-138.273,647.115,1016.47,169.951,813.846,1048.53,-348.100,-166.502,-119.317,-472.977,-889.653,-1286.67,-226.551,527.864,824.787,777.005,501.260,974.561,1239.77,109.254
3.59232,-432.289,416.627,2087.30,2107.34,119.047,639.088,461.069,-200.925,898.385,-701.094,1035.52,696.846,857.187,1348.90,1429.82,965.854,470.258,-150.117,-590.590,-3.26890,796.816,708.399,-18.3547,1093.47,1082.82,174.482,23.3264,192.578,-571.041,-798.635,-1593.59,-452.409,53.4756,567.889,738.870,525.651,692.822,795.440,138.254
3.60047,75.0470,742.645,1897.35,1574.27,-185.049,1038.21,630.862,-607.206,1310.34,-206.431,674.561,590.228,837.956,1418.82,1480.64,560.126,370.020,-558.899,80.8728,-175.999,696.842,751.860,-373.518,1561.11,1258.90,611.841,119.927,420.336,-562.213,-692.659,-1469.16,-641.586,-228.802,123.914,574.542,261.805,623.265,514.633,-195.263
3.60861,449.058,968.721,1822.50,928.237,-149.613,1048.26,744.492,-734.017,1394.18,348.356,496.336,334.775,661.309,1190.81,1449.78,-62.6787,359.620,-1250.70,597.301,-575.159,524.604,1034.69,-875.629,1928.62,1639.21,653.995,-38.0784,327.180,-522.061,-503.676,-1030.40,-393.240,-133.896,-67.2010,284.913,-147.343,856.064,290.119,-730.447
3.61676,286.093,1314.96,1897.45,524.163,95.5940,566.649,935.601,-539.737,1440.65,888.732,663.851,256.801,435.376,636.594,1429.09,-119.757,411.404,-1675.76,933.980,-930.847,373.072,1178.10,-1177.18,1639.97,1999.66,511.730,-308.384,-73.9645,-312.188,-269.904,-739.495,278.012,203.488,182.356,36.5608,-242.352,1265.25,68.1998,-1165.81
3.62490,22.9562,1381.65,2145.35,428.193,193.394,118.802,1105.78,-571.599,1478.95,1293.71,1002.67,605.869,164.028,228.637,1206.93,327.162,539.834,-1528.62,1262.20,-1160.47,215.404,1288.63,-1011.78,982.387,2192.40,646.273,-598.453,-397.399,-63.4188,-238.128,-566.465,761.450,671.090,566.680,-22.4714,195.876,1490.08,-332.535,-1146.62
3.63305,189.895,1131.29,2153.38,263.123,267.134,-233.625,1346.53,-907.511,1477.08,1618.64,1061.03,881.959,80.8426,174.224,926.819,541.260,815.861,-1258.95,1744.04,-1182.39,186.208,1415.60,-780.845,667.882,2148.92,875.808,-936.195,-297.429,49.1344,-388.036,-580.920,793.450,936.368,635.908,-81.7517,647.106,1666.30,-834.535,-770.766
3.64119,597.793,1066.14,1920.66,173.337,612.328,-307.068,1555.38,-1008.63,1641.61,1947.91,865.768,862.020,214.900,297.904,624.203,408.835,999.729,-1126.73,2080.80,-908.876,341.353,1496.77,-680.802,588.364,1788.38,708.792,-1156.99,130.094,366.600,-693.333,-556.990,600.153,841.554,470.152,-346.183,538.314,1670.03,-1142.40,-406.199
3.64934,825.371,1137.93,1700.10,257.630,1059.98,-38.4036,1625.44,-710.278,1849.38,1937.10,733.662,677.924,317.231,471.928,125.797,123.881,696.786,-1236.96,1927.21,-501.358,576.278,1727.66,-671.923,373.806,1097.83,362.743,-1137.09,493.909,776.616,-1231.41,-440.632,411.586,677.914,426.449,-785.038,79.2959,1299.78,-1294.37,-147.645
3.65748,898.936,973.032,1324.16,139.242,1184.24,315.189,1461.72,-276.647,1685.89,1397.91,615.106,319.587,24.2269,420.952,-192.167,-165.039,301.155,-1264.41,1553.32,-205.306,719.471,1840.28,-765.264,28.3354,500.274,252.672,-1054.57,507.913,840.567,-1771.17,-437.155,448.566,259.783,360.360,-1258.56,-188.672,784.985,-1292.19,23.1984
3.66563,1162.67,509.339,1101.51,-134.582,929.922,451.524,1163.47,187.860,1446.47,842.521,522.320,0.362462,-776.627,114.066,-132.732,-365.409,233.958,-884.340,1288.39,192.367,597.762,1577.16,-967.093,-406.048,378.106,381.985,-943.884,310.391,616.509,-1737.54,-392.702,603.878,-314.773,219.012,-1446.49,-273.371,200.949,-1223.54,208.768
3.67377,1385.20,18.9235,1228.82,-286.914,751.881,487.380,571.110,565.680,1368.61,497.209,476.290,-108.055,-1410.82,-160.304,96.2107,-227.343,583.005,-359.479,1011.79,556.635,188.873,1093.90,-1123.59,-642.517,532.410,769.713,-684.084,229.311,540.573,-1324.51,-405.980,666.810,-744.382,182.854,-1229.58,-542.420,-436.818,-1185.29,409.758
3.68192,1324.43,-224.429,1437.26,-333.460,826.686,671.726,50.4826,741.076,1222.59,98.1541,317.793,-21.9090,-1678.52,-90.8794,483.755,174.738,1027.12,-150.576,587.096,701.554,-131.393,811.357,-1210.26,-404.887,887.286,1262.09,-409.575,352.587,723.260,-1007.27,-574.623,627.641,-932.216,175.167,-669.389,-1093.24,-898.084,-1095.65,598.840
3.69006,1045.07,-573.030,1361.70,-495.321,1138.09,1004.27,-130.627,573.535,1035.19,-219.257,-93.8547,175.712,-1733.08,195.077,959.434,508.075,1004.54,-106.658,290.335,555.463,-488.765,539.899,-1270.35,-30.8742,1251.85,1569.86,-85.5485,568.520,625.315,-826.504,-990.440,239.427,-896.110,1.79908,-167.953,-1371.83,-1049.24,-697.250,840.713
3.69821,572.422,-961.263,953.071,-747.374,1320.45,1180.81,-35.2678,400.660,753.855,-134.095,-515.514,223.772,-1710.05,223.579,1260.53,625.321,442.339,-215.432,279.922,359.308,-715.133,229.280,-875.807,-9.99433,1085.84,1579.82,155.399,776.895,148.205,-447.038,-1149.10,-253.108,-815.662,-183.970,95.0649,-1237.84,-987.432,-331.002,1139.90
3.70635,-49.2369,-1019.09,524.167,-831.015,1318.26,998.399,412.338,587.331,502.487,198.938,-705.041,-128.356,-1842.10,-4.32940,1383.52,494.256,-43.7228,-341.268,358.963,261.455,-601.914,-108.701,-62.2487,-274.941,514.253,1227.86,192.100,644.230,-322.515,-15.5256,-1003.58,-557.154,-677.876,-314.445,258.131,-827.786,-1012.42,-391.539,1215.44
3.71450,-466.186,-663.863,344.228,-775.200,1319.84,827.660,986.181,738.668,338.574,538.204,-667.669,-552.537,-1783.14,-364.111,1393.28,279.645,-72.0650,-336.537,612.171,260.600,-207.593,-186.472,677.034,-734.188,48.0509,523.772,112.159,237.601,-588.770,-49.7774,-774.241,-717.636,-590.129,-241.251,567.636,-249.980,-1194.15,-618.442,1086.86
3.72264,-533.241,-164.660,358.262,-408.444,1036.99,900.589,1153.08,609.841,94.4283,877.462,-505.914,-723.318,-1285.49,-599.238,1435.40,482.784,78.6415,-347.297,976.354,60.1456,104.966,80.2535,1155.37,-1024.73,-125.263,-91.6479,-57.8607,22.9386,-611.184,-278.142,-462.340,-865.434,-727.042,-283.378,901.882,-27.6551,-1135.83,-838.509,1040.89
3.73079,-230.801,328.432,335.516,366.459,580.452,1040.24,1106.60,397.737,-359.850,1073.72,-278.056,-706.753,-676.790,-529.822,1540.09,899.011,100.772,-532.864,954.382,-269.477,-106.268,417.179,1403.73,-979.012,-185.124,-311.657,-55.8082,77.3136,-513.792,-347.766,-331.610,-1019.07,-801.620,-791.499,981.555,-57.5583,-715.673,-1138.06,1070.60
3.73893,241.339,725.730,38.6726,1053.34,277.117,1223.80,1199.08,112.752,-525.955,1265.50,-235.827,-680.000,-205.188,-597.861,1684.52,1029.05,258.527,-826.632,538.922,-501.966,-667.062,625.132,1442.58,-713.171,-80.2808,-384.838,64.7185,537.529,-518.675,-257.486,-491.132,-1067.56,-665.971,-1305.91,784.200,177.232,-463.695,-1458.80,1068.32
3.74708,409.324,783.236,-138.892,1218.99,-36.6815,1351.12,1346.73,-409.841,-544.959,1339.09,-419.250,-454.128,55.2012,-917.338,2013.18,922.444,629.277,-1221.69,367.727,-935.454,-975.718,764.290,1373.33,-451.756,184.783,-480.981,156.643,1138.14,-736.127,26.4398,-652.354,-1121.85,-577.579,-1407.12,268.198,329.751,-596.125,-1413.54,1056.27
3.75522,28.6317,696.937,-53.2277,1113.79,-294.027,1319.74,1384.72,-815.481,-713.196,1149.40,-440.456,78.4902,209.570,-1176.09,2356.73,971.538,904.904,-1540.57,393.408,-1334.12,-794.683,983.846,1421.89,-262.138,288.485,-703.580,200.841,1545.56,-977.899,294.325,-504.651,-1034.00,-662.120,-909.738,-228.356,418.065,-789.414,-721.804,888.087
3.76337,-461.699,498.271,156.694,1140.80,-334.492,1546.44,1387.61,-959.868,-687.822,1073.45,-312.829,440.040,341.122,-1171.58,2232.42,1253.85,1125.57,-1375.03,184.519,-1262.64,-468.040,1242.23,1517.25,-101.161,304.711,-822.003,467.631,1933.78,-1056.25,480.379,12.2008,-828.816,-721.719,-246.425,-197.844,696.996,-825.574,122.690,408.519
3.77151,-837.586,41.4633,427.079,1323.64,-38.0748,1986.16,1673.02,-874.098,-483.124,1048.93,-495.600,426.193,473.641,-1108.84,1899.10,1494.72,1190.40,-1023.15,-230.234,-976.971,-324.749,1093.62,1622.27,111.532,580.780,-437.513,800.556,2304.53,-890.789,736.460,636.612,-430.361,-767.689,169.900,422.382,1052.24,-759.522,701.437,203.585
3.77966,-1171.73,-383.503,533.760,1614.79,390.862,1962.77,1995.21,-380.395,-448.212,952.448,-725.263,211.038,444.528,-721.612,1518.05,1156.55,971.011,-785.716,-720.051,-669.405,-355.953,803.201,1573.57,367.072,1078.09,233.640,1184.88,2477.27,-666.465,913.158,1168.96,-47.4906,-697.727,454.816,1127.57,1259.33,-875.171,1205.58,493.194
3.78780,-1492.93,-484.084,442.042,1686.73,678.254,1507.22,1881.04,-13.8554,-399.173,1083.07,-811.579,-218.482,379.990,47.1194,1048.49,311.441,628.485,-516.778,-1193.65,-385.696,-128.602,609.351,1619.01,271.131,1440.09,717.180,1492.50,2287.61,-630.428,639.444,1275.25,-127.735,-248.804,680.026,1388.54,1255.83,-962.289,1265.60,777.736
3.79595,-1642.18,-347.010,411.438,1252.84,722.550,1415.15,1446.92,110.190,-270.411,1295.07,-1105.10,-585.187,598.898,712.052,575.576,-253.606,229.908,-334.017,-1368.28,-389.683,391.676,416.779,1850.98,294.453,1488.36,933.001,1381.06,1688.78,-753.230,-84.5855,1068.08,-338.526,210.408,469.908,1177.23,1128.39,-823.764,779.270,883.355
3.80409,-1581.86,-91.3335,445.872,802.427,415.256,1806.76,950.635,240.711,-159.694,1198.00,-1628.92,-561.961,908.825,881.895,328.924,-381.233,-129.357,-447.025,-1267.01,-667.850,555.748,135.275,1894.50,785.365,1374.15,1163.63,960.581,923.057,-813.516,-779.266,806.181,-226.499,420.161,-88.1067,711.193,1140.36,-588.388,138.817,954.231
3.81224,-1347.36,54.4457,578.397,557.726,-103.405,2039.34,637.866,323.646,42.4697,777.564,-1919.29,-200.846,1068.02,865.930,458.117,-377.326,-245.671,-613.945,-967.185,-808.203,224.545,-263.243,1719.43,1368.52,1435.74,1508.47,759.001,183.129,-688.121,-969.833,528.703,394.423,172.269,-442.310,477.686,1567.16,-323.507,-200.425,819.414
3.82038,-1033.07,88.7921,616.670,514.273,-520.594,1959.11,433.589,334.549,34.7283,401.398,-1762.19,51.1615,1215.12,951.780,797.854,-263.090,-39.1441,-483.838,-856.671,-630.721,-20.1467,-520.114,1388.14,1812.38,1583.60,1851.14,975.783,-289.025,-395.999,-620.837,380.039,993.442,-270.552,-211.882,566.129,1997.46,89.2896,-60.2269,539.702
3.82853,-752.316,37.6511,614.135,373.733,-658.605,1740.87,288.986,319.760,-344.268,127.767,-1461.81,26.6484,1468.52,817.331,1023.69,-251.932,270.732,-96.4589,-1027.44,-370.571,130.586,-342.411,983.765,1796.71,1286.69,2078.24,1202.49,-541.221,-143.278,-184.511,419.709,1016.95,-681.731,422.604,735.452,1558.62,255.794,421.049,310.755
3.83667,-507.389,-51.6176,755.155,-45.8493,-498.370,1278.34,334.804,653.698,-714.457,368.289,-975.857,-186.790,1586.43,384.733,1238.19,-127.415,225.757,339.499,-1155.83,-273.746,313.717,-73.7684,534.140,1306.57,808.586,2197.67,1250.32,-512.512,-281.878,144.264,471.070,502.750,-919.187,1017.63,759.713,685.578,81.0081,617.993,315.807
3.84482,-86.5330,-156.704,999.021,-441.503,-213.535,1006.84,403.530,1254.49,-787.294,943.857,-360.237,-272.470,1548.27,258.631,1435.02,230.776,-95.4306,831.276,-1189.33,-344.743,401.489,105.596,12.1921,571.230,678.844,2314.59,1152.85,-275.887,-692.475,240.177,472.575,-26.4163,-955.300,1530.66,832.167,306.508,78.4238,376.297,450.794
3.85296,403.760,-92.9642,1153.36,-670.316,-180.583,1079.81,414.502,1514.68,-370.068,1267.35,-66.3796,-118.796,1476.64,370.698,1579.32,500.921,-132.245,1232.63,-1045.70,-607.998,605.984,181.729,-255.950,-155.667,1018.17,2239.17,1095.41,-77.7389,-846.510,69.9087,611.511,-226.504,-959.049,2009.59,1071.40,417.309,333.514,115.422,539.184
3.86111,543.900,382.311,914.609,-687.665,-417.307,1042.12,401.105,1398.92,47.7872,1135.79,-174.042,65.4021,1313.76,567.679,1665.34,622.371,-23.4419,1257.15,-574.049,-789.851,651.326,-4.86878,1.43691,-708.289,1426.77,1848.00,1147.26,104.304,-481.935,-103.946,986.815,-166.721,-821.858,2061.00,1474.54,717.931,679.637,128.009,737.199
3.86925,331.186,1121.16,175.711,-615.250,-498.197,658.475,187.940,1083.64,213.074,681.747,-369.581,217.026,1268.93,756.741,1852.93,570.346,-133.460,1081.55,146.704,-632.475,373.431,-487.533,607.385,-819.415,1589.91,1493.59,1291.10,342.700,43.9743,-96.1782,1473.05,-152.675,-832.131,1987.30,1610.85,1041.59,851.503,355.032,999.127
3.87740,52.0467,1520.76,-554.512,-628.720,-314.156,483.477,-58.0586,641.595,444.849,343.612,-377.718,664.723,1267.09,811.376,2150.41,414.053,-235.899,594.210,808.439,-398.193,-210.139,-962.012,1200.67,-327.327,1659.10,1315.31,1352.96,492.719,505.179,112.980,1846.53,-216.721,-850.750,2231.17,1407.98,1422.95,931.509,767.361,1235.89
3.88554,-267.144,1431.32,-841.443,-701.719,-65.0023,609.476,-322.511,354.505,751.723,416.914,-95.1146,1276.62,1140.06,795.259,2308.90,441.774,81.6208,57.8349,1174.12,-285.959,-840.695,-1200.28,1439.15,276.686,1614.79,1211.46,1445.75,377.536,772.882,415.986,1731.71,-214.516,-701.632,2304.05,1075.23,1752.15,856.844,1094.14,1454.50
3.89369,-461.970,1193.59,-745.029,-578.518,171.078,865.181,-526.046,132.098,976.507,811.083,448.608,1404.77,876.578,726.538,2266.03,833.006,683.415,-66.7528,1419.16,-267.588,-913.216,-1102.25,1336.90,565.081,1460.69,1090.47,1539.43,198.480,820.967,587.128,1390.09,-191.701,-414.632,1877.11,693.663,1752.91,559.853,942.618,1469.72
3.90183,-531.920,886.617,-613.840,-274.504,307.196,1196.28,-548.480,-417.914,1249.96,1179.33,868.215,923.387,708.498,587.919,2350.04,1058.21,1302.27,126.012,1871.49,-371.460,-570.090,-710.081,1102.44,808.926,1233.14,864.604,1377.24,116.737,820.585,492.845,1159.40,217.620,-35.2551,1447.51,472.577,1552.92,145.980,574.254,1252.56
3.90998,-403.687,792.854,-676.359,-63.3963,405.687,1247.51,-431.274,-1274.96,1580.76,1323.30,830.263,220.977,691.584,435.985,2749.40,886.885,1583.09,562.105,2185.96,-238.633,-232.586,-281.721,769.504,1018.58,896.181,782.346,1021.05,337.471,580.077,298.373,976.307,948.012,36.5516,1379.31,406.646,1291.42,-232.855,386.240,932.188
3.91812,-111.611,1043.63,-785.134,54.6823,292.615,880.271,-222.712,-1889.58,1672.61,1256.74,436.503,-193.156,859.338,345.483,2876.84,792.970,1426.09,841.119,2159.39,-56.9624,21.1196,-23.8314,553.776,966.247,842.220,1146.86,577.970,672.563,175.343,220.559,738.799,1543.39,-207.645,1643.89,395.566,1007.86,-257.285,338.255,714.429
3.92627,287.485,1553.75,-782.825,16.5834,-5.42581,452.726,10.7628,-1696.08,1317.68,891.900,-158.959,-427.512,1061.26,496.000,2741.57,638.117,1092.69,693.242,1933.80,2.68440,466.632,68.1921,551.409,584.424,1208.23,1469.88,129.029,596.846,129.158,488.918,322.584,1847.87,-423.974,2014.50,389.691,786.634,82.2594,445.097,537.832
3.93441,572.721,2254.95,-508.602,144.893,-86.5813,320.284,229.492,-851.130,847.074,576.197,-681.978,-553.223,859.459,680.817,2695.29,396.510,799.725,662.023,1645.52,-13.1127,1120.60,96.0583,528.336,42.5000,1534.02,1528.94,-100.289,309.512,391.706,784.162,-103.250,2032.81,-572.125,2307.02,271.658,624.442,441.500,688.310,634.714
3.94256,591.641,2913.46,62.0034,717.016,-52.5247,306.808,343.708,-103.111,617.866,574.992,-1114.57,-543.517,546.539,627.779,2503.85,402.486,425.892,1030.93,1499.19,90.1781,1621.53,106.210,535.858,-192.110,1566.64,1416.94,-62.5158,258.581,430.377,846.494,-222.917,2095.84,-844.787,2360.27,253.589,663.700,428.160,736.223,1023.35
3.95070,224.162,3220.50,665.907,1355.11,-149.028,214.168,506.581,198.138,584.141,871.014,-1456.29,-623.150,748.607,608.826,2379.70,652.171,253.799,1386.22,1578.13,367.621,1795.24,18.3228,433.610,128.653,1455.64,1165.32,217.093,582.041,37.8367,728.838,-154.611,1850.08,-905.534,2038.87,224.544,1065.55,105.397,450.495,1117.22
3.95885,-372.193,3121.67,1034.07,1632.28,-8.70266,110.717,731.925,265.672,424.553,991.921,-1790.76,-796.278,1248.99,689.660,2381.60,1049.26,310.400,1656.43,1667.34,502.208,1331.10,-328.686,60.6335,569.343,1381.04,935.839,474.091,881.932,-386.491,496.444,-173.929,1532.12,-734.086,1557.81,63.5087,1524.36,54.0971,312.898,580.641
3.96699,-950.719,2951.49,1213.27,1458.19,643.850,-135.855,892.622,335.662,-247.029,732.061,-1925.69,-663.251,1311.57,678.025,2161.27,1302.95,368.340,1940.26,1650.44,580.927,438.627,-831.929,-250.328,560.707,1203.38,455.170,497.458,1291.39,-449.799,209.056,-306.296,1292.93,-427.714,1027.14,-92.1104,1698.23,388.409,291.989,-5.90151
3.97514,-1392.93,2744.84,1292.60,1271.66,1298.00,-739.974,777.583,432.516,-736.677,424.574,-1533.49,-283.315,1085.69,655.435,1928.21,1397.70,232.348,1998.19,1301.60,734.613,-46.9512,-1220.75,-427.760,284.878,1059.36,-229.816,339.013,2011.68,-203.479,-184.516,-551.697,1060.41,-251.906,461.455,1.48404,1586.87,724.891,162.031,-199.375
3.98328,-1341.66,2507.60,1230.09,1062.50,1585.94,-1058.84,536.755,624.777,-500.518,474.975,-649.630,123.749,979.982,777.469,1644.54,1225.09,40.4767,1683.47,827.606,858.761,108.535,-1142.78,-405.590,65.4554,1140.69,-827.337,136.541,2775.67,-124.004,-579.663,-803.444,775.176,-561.466,117.626,603.873,1412.54,921.112,-34.7537,-151.088
3.99143,-826.151,2323.08,1254.64,749.078,1441.15,-729.108,478.531,857.068,87.6085,739.663,221.275,425.623,852.947,888.573,1060.75,766.996,-33.8613,1273.51,479.719,881.876,425.166,-769.667,-481.905,-138.815,1358.08,-1057.04,-206.501,3047.34,-49.9066,-709.886,-730.644,699.753,-996.036,194.751,1406.89,1279.95,1189.33,-208.403,-181.699
3.99957,-230.675,2159.47,1277.63,379.070,1072.35,-326.714,498.369,891.795,554.716,968.823,706.179,576.685,781.967,846.405,582.021,553.975,74.2486,1120.08,99.1418,593.937,469.376,-454.104,-772.359,-446.505,1228.88,-726.832,-823.784,2917.53,295.036,-356.925,-358.330,907.426,-1217.74,273.890,1861.12,932.600,1310.73,-425.000,-478.127
4.00772,128.675,1995.39,1082.94,208.494,873.347,-146.863,544.214,655.537,708.954,1156.93,834.121,462.216,997.714,671.581,591.545,641.123,183.776,1196.76,-234.149,340.539,551.795,-318.852,-576.662,-570.480,810.432,-138.831,-1433.93,2563.19,792.120,301.093,273.753,981.485,-1211.17,206.052,1847.70,312.628,1117.17,-349.783,-659.915
4.01586,297.390,2050.52,869.871,258.050,849.854,-171.684,727.012,537.543,560.685,1108.43,947.272,125.999,1143.82,530.284,771.524,752.141,278.160,1136.24,-207.880,432.043,1024.34,-364.789,-27.4795,-417.548,475.677,-241.430,-1852.04,2388.64,1127.61,667.219,1231.26,1083.77,-1231.15,486.243,1602.75,-246.386,602.920,-98.5592,-528.813
4.02401,673.837,2172.37,1032.71,348.387,762.664,30.5266,1047.77,613.077,405.289,837.021,909.289,110.884,967.359,476.478,630.720,808.300,650.053,658.264,196.666,691.459,1512.23,-379.624,318.781,-197.258,419.085,-1106.42,-2031.12,2348.22,1310.77,957.302,2227.48,1369.96,-1395.66,1065.67,1362.89,-528.536,57.3443,60.3491,-343.297
4.03215,977.660,1775.46,1283.07,657.632,701.186,427.772,1336.68,711.672,347.796,391.372,614.989,406.352,806.829,492.233,308.316,761.527,1132.93,316.807,652.735,930.874,1822.98,-163.630,585.195,-23.8476,731.615,-1685.24,-1807.63,1986.14,1387.03,1436.47,2865.62,1744.59,-1539.28,1630.36,1168.32,-369.824,142.764,275.815,-142.496
4.04030,1123.57,1056.97,1496.64,1166.35,838.141,561.572,1729.09,816.642,381.807,-94.0386,454.020,670.442,803.798,445.717,376.503,427.557,1281.45,547.301,710.295,831.672,1752.26,150.312,781.549,-173.578,1085.88,-1721.85,-1178.16,1468.67,1213.00,1605.06,3035.10,1961.00,-1379.25,2186.60,1092.76,83.0516,585.479,429.163,82.4854
4.04844,1287.00,484.901,1873.21,1272.07,878.531,349.613,1998.75,957.695,578.437,-341.549,432.480,867.739,764.563,346.946,724.515,39.2674,1372.77,666.425,329.404,500.659,1564.65,298.169,944.345,-579.206,1000.75,-1739.92,-486.178,1069.25,976.529,1269.15,3019.87,1878.13,-837.321,2656.54,965.923,769.813,681.431,178.897,266.516
4.05659,1334.71,-8.66859,2475.90,988.991,734.483,-230.323,1869.96,1241.57,879.158,-219.439,420.738,783.283,717.107,331.243,972.693,-26.0058,1465.89,245.103,-112.003,381.717,1581.65,267.219,957.859,-843.892,598.722,-1613.27,19.8758,637.305,755.113,651.659,2995.84,1792.71,-9.95723,2818.56,909.471,1520.07,256.508,-500.520,460.853
4.06473,1158.23,-207.807,2919.14,764.308,703.172,-861.478,1643.78,1493.92,761.709,293.182,193.722,385.689,912.351,305.424,1174.32,222.921,1229.06,-165.930,-264.395,457.702,1623.03,162.909,676.769,-1048.32,348.184,-1078.58,282.647,351.272,393.227,314.907,3129.58,1820.17,572.671,2716.09,990.354,1873.77,-317.644,-1061.19,743.252
4.07288,983.484,-237.840,2743.04,590.575,1024.49,-1048.90,1338.94,1887.93,540.555,951.605,-102.669,28.0954,1088.91,152.939,1112.96,568.646,793.170,-133.740,-377.147,517.306,1226.07,-293.751,345.249,-1109.10,253.809,-496.405,448.115,209.602,-58.6514,310.132,3286.11,1713.93,604.368,2620.05,1217.72,1674.86,-518.607,-1046.07,1139.55
4.08102,991.475,-412.778,2174.18,696.627,1443.09,-747.924,1047.40,1983.33,709.944,1270.96,-73.7833,-318.199,1031.57,188.439,997.703,859.927,403.481,206.845,-422.435,294.468,522.970,-733.406,238.810,-873.626,163.988,-177.734,382.315,118.962,-308.637,447.991,3260.05,1596.56,495.258,2567.76,1357.00,1098.53,-466.010,-719.340,1607.86
4.08917,979.265,-526.400,1963.84,964.452,1198.38,-385.450,992.137,1437.81,1027.67,1117.33,-50.0155,-627.516,776.600,544.849,1015.23,1132.92,209.515,713.431,-99.2717,-202.687,-360.072,-972.916,468.154,-417.749,49.0202,94.6374,236.166,190.463,-564.490,726.868,2970.73,1556.64,414.988,2229.31,1334.66,528.788,-455.165,-387.706,1707.84
4.09731,1018.87,-284.396,2256.06,975.990,714.074,-155.164,1089.50,679.797,1222.17,864.063,-77.4272,-685.846,684.304,1006.20,995.342,1477.28,236.088,1078.84,512.848,-619.485,-1305.15,-1028.68,683.919,148.612,130.416,314.190,286.566,331.495,-783.405,981.348,2576.81,1459.54,255.642,1789.44,1329.39,207.549,-580.121,-259.661,1303.28
4.10546,1101.32,96.3826,2457.59,852.481,684.750,-25.5503,1131.04,297.861,1406.70,753.761,-11.5484,-658.267,642.493,1268.80,1008.05,1844.16,435.880,1117.17,794.037,-755.536,-1710.87,-740.034,384.327,675.187,495.488,476.492,463.549,422.470,-695.725,933.580,2270.17,1273.33,215.997,1650.19,1364.45,-60.0171,-741.087,-191.676,764.102
