,FA_20240108_2H_yeast_1.11.ser#1,FA_20240108_2H_yeast_1.11.ser#2,FA_20240108_2H_yeast_1.11.ser#3,FA_20240108_2H_yeast_1.11.ser#4,FA_20240108_2H_yeast_1.11.ser#5,FA_20240108_2H_yeast_1.11.ser#6,FA_20240108_2H_yeast_1.11.ser#7,FA_20240108_2H_yeast_1.11.ser#8,FA_20240108_2H_yeast_1.11.ser#9,FA_20240108_2H_yeast_1.11.ser#10,FA_20240108_2H_yeast_1.11.ser#11,FA_20240108_2H_yeast_1.11.ser#12,FA_20240108_2H_yeast_1.11.ser#13,FA_20240108_2H_yeast_1.11.ser#14,FA_20240108_2H_yeast_1.11.ser#15,FA_20240108_2H_yeast_1.11.ser#16,FA_20240108_2H_yeast_1.11.ser#17,FA_20240108_2H_yeast_1.11.ser#18,FA_20240108_2H_yeast_1.11.ser#19,FA_20240108_2H_yeast_1.11.ser#20,FA_20240108_2H_yeast_1.11.ser#21,FA_20240108_2H_yeast_1.11.ser#22,FA_20240108_2H_yeast_1.11.ser#23,FA_20240108_2H_yeast_1.11.ser#24,FA_20240108_2H_yeast_1.11.ser#25,FA_20240108_2H_yeast_1.11.ser#26,FA_20240108_2H_yeast_1.11.ser#27,FA_20240108_2H_yeast_1.11.ser#28,FA_20240108_2H_yeast_1.11.ser#29,FA_20240108_2H_yeast_1.11.ser#30,FA_20240108_2H_yeast_1.11.ser#31,FA_20240108_2H_yeast_1.11.ser#32,FA_20240108_2H_yeast_1.11.ser#33,FA_20240108_2H_yeast_1.11.ser#34,FA_20240108_2H_yeast_1.11.ser#35,FA_20240108_2H_yeast_1.11.ser#36,FA_20240108_2H_yeast_1.11.ser#37,FA_20240108_2H_yeast_1.11.ser#38,FA_20240108_2H_yeast_1.11.ser#39
9.48119,508.039,47.5161,-501.112,-1608.25,1352.94,1801.31,722.723,987.258,433.292,1425.84,-117.610,1218.84,1070.45,249.015,-993.380,1141.65,636.517,1063.47,-157.599,-1451.14,681.772,-795.993,581.144,477.019,556.689,1084.66,670.563,746.167,767.927,649.843,73.8456,740.675,-158.403,-505.915,-255.876,731.770,512.931,1335.68,495.094
9.48933,459.476,-291.755,-113.503,-1151.99,1490.86,2053.63,708.058,865.838,856.798,1363.14,-640.994,1009.89,1508.06,758.913,-1171.96,686.124,550.045,1244.07,-473.769,-1536.99,453.045,-828.363,402.137,852.771,175.199,876.289,584.836,753.063,553.831,379.349,23.5811,1042.65,-240.484,-395.714,-296.847,1040.39,197.277,1390.93,563.121
9.49748,377.427,-222.474,5.37034,-569.095,1581.36,1700.70,726.106,546.920,1185.25,1377.59,-700.274,1125.22,1624.26,1129.38,-1300.54,423.581,462.209,1392.97,-950.481,-1411.15,81.7224,-584.064,211.974,1138.37,51.4659,659.293,89.3185,526.334,414.816,184.357,-253.388,1684.67,-257.924,-177.102,-163.174,1138.23,-243.488,1221.64,548.201
9.50562,305.855,94.9059,-140.604,-99.8995,1753.81,884.869,619.807,346.046,1062.25,1324.96,-283.453,1254.99,1395.81,1170.92,-1450.75,299.969,301.451,1326.00,-1149.49,-1396.95,-321.897,-323.317,41.3574,1271.89,-0.790089,553.819,-251.784,359.155,239.611,226.818,-552.149,2034.22,-42.8568,-28.8503,-40.7862,1072.45,-785.946,978.615,285.913
9.51377,455.831,444.418,-395.781,70.2550,1914.73,108.012,365.740,371.370,772.751,960.996,84.7502,1016.37,1268.19,1085.20,-1443.80,-95.2986,30.8708,1391.84,-906.346,-1220.59,-553.801,-264.666,-256.395,1245.74,-193.956,334.381,-422.055,227.674,149.181,253.009,-528.405,2022.31,150.026,38.3358,-89.8570,1026.28,-1111.11,855.214,185.189
9.52191,618.701,640.345,-657.058,92.5234,1863.34,-283.785,262.366,586.661,607.919,642.801,350.744,526.771,1218.36,958.712,-1387.78,-475.216,53.4207,1531.30,-718.902,-680.946,-552.671,-216.748,-553.522,1076.97,-377.118,-70.5544,-485.033,74.9555,167.322,68.6664,-190.612,1520.15,284.629,-49.5441,-75.3646,1106.78,-1146.46,891.310,540.025
9.53006,628.961,510.049,-773.950,221.279,1699.97,-222.431,289.000,692.844,271.374,568.994,472.201,349.313,1027.87,701.730,-1561.50,-608.485,320.140,1392.30,-717.655,-15.6474,-570.193,-81.4388,-577.913,1025.43,-390.120,-319.774,-269.263,-14.6786,157.005,30.2136,248.483,702.571,364.413,-170.200,154.840,915.517,-1197.71,995.331,929.587
9.53820,594.488,438.959,-630.267,449.246,1692.02,190.146,171.061,601.692,-289.830,474.997,530.401,547.655,635.058,301.597,-1768.72,-624.309,406.313,1158.49,-676.632,374.615,-540.264,121.652,-627.982,1053.78,-355.707,-422.277,-137.663,-9.13992,308.875,138.193,743.379,117.902,175.036,-216.223,177.883,511.349,-1317.76,1100.62,1054.91
9.54635,446.714,595.975,-339.011,422.663,1744.67,808.387,88.2840,290.179,-704.067,194.404,450.869,827.043,284.650,-147.089,-1664.15,-592.453,246.307,943.368,-329.557,497.395,-475.085,278.818,-901.910,1028.74,-243.918,-452.174,-281.799,-6.10735,322.084,218.943,1145.19,-171.694,-33.0818,-90.3573,-59.4443,196.720,-1300.07,998.731,852.870
9.55449,247.437,834.390,64.3669,274.234,1963.10,1394.04,204.516,-277.004,-742.637,-102.534,150.297,857.714,40.9037,-396.880,-1358.45,-518.660,-178.877,327.054,60.5979,776.208,-686.338,390.972,-900.007,919.405,164.348,-442.415,-749.448,-135.657,52.2784,46.9968,1355.55,-413.508,-102.593,28.8583,-89.0821,4.68236,-986.007,668.921,596.176
9.56264,-36.4812,952.180,574.786,336.644,2079.95,1744.97,412.027,-534.290,-425.762,-154.994,-292.269,676.564,-174.883,-409.187,-1176.00,-433.678,-497.310,-542.304,424.525,1122.83,-832.353,434.972,-648.837,748.370,519.835,-473.409,-1392.62,-317.857,-406.910,-266.623,1353.73,-619.846,-71.9991,-11.3299,151.391,45.3014,-831.490,388.090,449.170
9.57078,-224.810,808.338,996.470,528.120,1763.45,2096.45,529.111,-482.890,-217.254,176.545,-741.641,636.289,-242.955,-163.091,-1072.95,-629.500,-432.387,-1282.46,885.910,1161.65,-687.005,405.057,-528.172,638.807,717.994,-560.660,-1685.81,-373.140,-905.927,-363.814,1168.56,-834.382,-121.020,-83.1474,523.966,542.119,-680.607,199.675,491.156
9.57893,-410.444,652.805,1249.58,521.074,1250.87,2454.96,499.669,-285.722,-231.170,555.821,-1035.49,698.827,-54.3652,356.673,-761.484,-1047.68,-216.213,-1906.18,1232.27,1034.44,-587.216,103.598,-559.125,648.472,929.283,-937.353,-1483.66,-332.219,-1229.81,-75.2130,833.086,-748.231,-212.502,-104.431,825.217,1261.71,-318.939,-59.9919,544.256
9.58707,-568.339,785.695,1166.33,247.320,861.161,2351.26,592.151,-102.907,-190.944,624.085,-1133.61,660.115,273.568,882.731,-167.037,-1072.76,-129.033,-2196.33,1228.67,1019.13,-548.861,-363.741,-241.016,672.624,1226.07,-1184.10,-1268.91,-247.339,-1258.59,46.8773,302.864,-371.778,-263.898,-155.275,728.869,1708.09,-183.202,-260.802,337.326
9.59522,-308.850,845.436,715.022,84.1300,893.019,1740.10,652.840,-200.220,136.757,405.123,-1226.06,544.355,536.299,1225.42,289.763,-612.696,-282.816,-2216.44,1207.82,964.273,-328.085,-677.144,598.677,761.385,1250.34,-844.172,-1261.31,170.510,-1065.90,-114.603,-95.0890,-126.885,-238.898,-180.888,514.410,1635.70,-300.340,-261.907,48.2645
9.60336,187.467,591.432,402.184,215.523,1243.42,868.387,525.791,-332.208,615.612,367.653,-1306.69,658.233,735.416,1458.70,589.307,-129.056,-417.198,-2090.79,1308.65,725.403,-211.964,-957.968,1244.68,759.219,843.823,-317.689,-1145.33,780.437,-810.101,-276.555,-298.831,-10.9174,64.4197,-281.960,215.191,1271.27,-454.079,-239.220,-73.0892
