,FA_20240517_2H_yeast_1.6.ser#1,FA_20240517_2H_yeast_1.6.ser#2,FA_20240517_2H_yeast_1.6.ser#3,FA_20240517_2H_yeast_1.6.ser#4,FA_20240517_2H_yeast_1.6.ser#5,FA_20240517_2H_yeast_1.6.ser#6,FA_20240517_2H_yeast_1.6.ser#7,FA_20240517_2H_yeast_1.6.ser#8,FA_20240517_2H_yeast_1.6.ser#9,FA_20240517_2H_yeast_1.6.ser#10,FA_20240517_2H_yeast_1.6.ser#11,FA_20240517_2H_yeast_1.6.ser#12,FA_20240517_2H_yeast_1.6.ser#13,FA_20240517_2H_yeast_1.6.ser#14,FA_20240517_2H_yeast_1.6.ser#15,FA_20240517_2H_yeast_1.6.ser#16,FA_20240517_2H_yeast_1.6.ser#17,FA_20240517_2H_yeast_1.6.ser#18,FA_20240517_2H_yeast_1.6.ser#19,FA_20240517_2H_yeast_1.6.ser#20,FA_20240517_2H_yeast_1.6.ser#21,FA_20240517_2H_yeast_1.6.ser#22,FA_20240517_2H_yeast_1.6.ser#23,FA_20240517_2H_yeast_1.6.ser#24,FA_20240517_2H_yeast_1.6.ser#25,FA_20240517_2H_yeast_1.6.ser#26,FA_20240517_2H_yeast_1.6.ser#27,FA_20240517_2H_yeast_1.6.ser#28,FA_20240517_2H_yeast_1.6.ser#29,FA_20240517_2H_yeast_1.6.ser#30,FA_20240517_2H_yeast_1.6.ser#31,FA_20240517_2H_yeast_1.6.ser#32,FA_20240517_2H_yeast_1.6.ser#33,FA_20240517_2H_yeast_1.6.ser#34,FA_20240517_2H_yeast_1.6.ser#35,FA_20240517_2H_yeast_1.6.ser#36,FA_20240517_2H_yeast_1.6.ser#37,FA_20240517_2H_yeast_1.6.ser#38,FA_20240517_2H_yeast_1.6.ser#39,FA_20240517_2H_yeast_1.6.ser#40,FA_20240517_2H_yeast_1.6.ser#41,FA_20240517_2H_yeast_1.6.ser#42,FA_20240517_2H_yeast_1.6.ser#43,FA_20240517_2H_yeast_1.6.ser#44,FA_20240517_2H_yeast_1.6.ser#45,FA_20240517_2H_yeast_1.6.ser#46,FA_20240517_2H_yeast_1.6.ser#47,FA_20240517_2H_yeast_1.6.ser#48,FA_20240517_2H_yeast_1.6.ser#49,FA_20240517_2H_yeast_1.6.ser#50
4.37419,1313.98,2871.95,1311.34,4322.53,2009.69,4823.10,3711.32,3482.47,3898.92,3484.81,3417.45,2961.65,2789.10,5346.85,2946.94,5620.26,3142.77,4400.69,5224.85,5048.05,3145.83,1603.26,1627.27,4746.85,2253.58,3137.04,3312.04,2913.63,2979.69,5393.24,2313.42,4868.44,1735.22,5542.34,1408.47,5373.48,2340.73,4109.51,1366.69,2831.56,2828.98,5185.61,1409.63,495.955,2012.05,3223.38,148.804,3280.63,796.761,2731.31
4.38234,1593.05,2943.14,1301.42,4559.31,2254.15,5319.02,3769.32,3349.27,3743.92,4129.54,3671.45,3584.62,3488.87,5474.43,3643.41,6450.83,3518.96,5063.24,5171.65,4790.33,3374.73,1969.34,1872.99,4400.33,2323.17,3295.09,3710.67,3323.54,3100.88,5448.88,2684.95,4963.03,2116.09,5992.40,1640.93,4539.86,3079.84,3580.12,1708.39,3436.22,3562.18,5106.29,1253.86,1273.83,2357.83,4350.01,507.792,3527.34,1356.13,3143.37
4.39048,1872.13,3014.33,1291.50,4796.10,2498.62,5814.95,3827.32,3216.07,3588.90,4774.27,3925.45,4207.58,4188.64,5602.01,4339.88,6642.89,3895.14,5725.80,5118.45,4532.61,3603.62,2335.42,2118.72,4053.81,2392.76,3453.15,4109.29,3733.45,3222.08,5504.52,3056.48,5057.63,2496.95,6442.45,1873.40,3706.24,3818.94,3050.73,2050.09,4040.87,3498.35,5026.97,1098.10,2051.71,2703.61,4750.30,866.781,3774.05,1915.50,3555.44
4.39863,3198.17,2443.14,782.621,4615.69,2160.00,5548.09,4011.07,3622.98,3238.46,4938.50,4352.46,4701.54,4381.12,5503.56,4489.55,6058.41,3580.56,5823.16,5463.83,4639.64,3783.81,2584.66,2821.60,3707.29,2949.46,4057.97,4154.49,4063.03,3292.24,4927.71,2828.63,4766.92,2881.65,6022.74,2225.35,3791.40,4198.12,2679.47,2944.15,4501.14,3334.90,5031.96,2071.77,2829.58,2990.84,4595.43,974.175,4685.87,2805.53,3258.00
4.40677,4524.22,1871.95,273.746,4435.29,1821.37,5281.22,4194.82,4029.90,2888.01,5102.74,4779.48,5195.49,4573.60,5405.10,4639.21,5473.93,3265.99,5920.52,5809.20,4746.67,3963.99,2833.91,3524.49,3916.94,3506.16,4662.79,4199.70,4392.60,3362.41,4350.90,2600.79,4476.21,3266.35,5603.02,2577.30,3876.57,4577.29,3039.78,3838.21,4961.40,3171.45,5036.95,3045.43,3607.46,3278.06,4440.57,1081.57,5597.70,3695.56,2960.57
4.41492,5225.21,1946.50,490.620,4146.63,1700.56,5444.48,4586.72,3768.20,3172.49,4628.98,4591.32,5099.64,4766.08,5306.64,4467.81,5022.48,2772.18,5495.08,6154.58,4556.96,4144.18,3083.16,4510.52,4798.63,4062.85,5267.60,4442.16,3618.10,3636.70,3967.45,2570.00,4819.41,3651.06,5183.31,2596.78,4316.82,5008.50,3842.08,4169.36,5047.01,2958.18,5041.95,4019.09,3428.28,3371.45,4845.59,1188.96,6492.19,4245.18,2894.81
4.42306,5926.19,2021.05,707.495,3857.98,1579.74,5607.73,4978.61,3506.50,3456.96,4155.21,4403.17,5003.80,4958.56,5208.19,4296.41,5209.55,2278.38,5069.64,6499.96,4367.24,4324.36,3332.40,5496.56,5680.32,4619.55,5872.42,4684.62,2843.59,4664.66,3584.00,2539.21,5162.62,4035.76,4763.60,2616.26,4757.07,4607.10,4644.37,4500.51,5132.62,2744.91,5046.94,4992.76,3249.10,3464.83,5250.60,1296.36,6554.75,4794.80,2829.04
4.43121,5478.65,2647.17,1046.84,4252.62,1989.83,5932.28,5132.01,2864.53,4574.77,3521.95,4076.60,4605.69,5284.16,5450.52,4773.82,5097.31,2501.47,4962.13,7102.04,4777.19,4577.61,3310.59,5777.68,6214.41,4779.46,6087.86,4853.12,1994.94,5272.60,3873.28,2968.21,5735.61,4121.33,5307.43,3356.09,5889.74,4370.49,4978.01,4310.97,5218.24,3262.25,4750.18,5271.03,3339.09,3182.66,5160.05,2005.82,6132.01,5397.61,3723.76
4.43935,5031.10,3273.30,1386.18,4647.26,2399.93,6256.83,5285.41,2222.55,5692.58,2888.68,3750.03,4207.58,5609.76,5692.86,5251.23,4985.07,2724.57,5532.84,7704.13,5187.14,4830.86,3288.78,6058.79,6192.32,4939.36,6303.30,5021.61,2464.58,5880.55,4162.57,3397.21,6308.61,4206.89,5851.27,4095.92,7022.41,4133.88,5311.65,4121.42,5303.85,3779.60,4453.41,5549.30,3429.08,2900.48,5069.49,2715.28,5709.27,6000.41,4618.48
4.44750,4958.58,3684.17,2160.98,4825.41,3173.04,5864.52,5438.80,2249.19,6175.46,2893.42,3054.35,4399.27,5935.36,5601.36,5728.65,4753.10,3306.13,6061.16,8630.47,5597.09,5084.11,3416.52,5679.24,6019.60,4814.99,6190.84,4992.84,3379.16,6158.76,4645.22,4154.64,7071.77,4292.46,6748.15,5001.98,7595.82,4539.07,5645.28,4719.95,4811.88,4296.94,3943.65,5771.57,3724.16,2618.30,4615.77,2510.66,5858.49,6773.43,4972.62
