,FA_20240517_2H_yeast_1.7.ser#1,FA_20240517_2H_yeast_1.7.ser#2,FA_20240517_2H_yeast_1.7.ser#3,FA_20240517_2H_yeast_1.7.ser#4,FA_20240517_2H_yeast_1.7.ser#5,FA_20240517_2H_yeast_1.7.ser#6,FA_20240517_2H_yeast_1.7.ser#7,FA_20240517_2H_yeast_1.7.ser#8,FA_20240517_2H_yeast_1.7.ser#9,FA_20240517_2H_yeast_1.7.ser#10,FA_20240517_2H_yeast_1.7.ser#11,FA_20240517_2H_yeast_1.7.ser#12,FA_20240517_2H_yeast_1.7.ser#13,FA_20240517_2H_yeast_1.7.ser#14,FA_20240517_2H_yeast_1.7.ser#15,FA_20240517_2H_yeast_1.7.ser#16,FA_20240517_2H_yeast_1.7.ser#17,FA_20240517_2H_yeast_1.7.ser#18,FA_20240517_2H_yeast_1.7.ser#19,FA_20240517_2H_yeast_1.7.ser#20,FA_20240517_2H_yeast_1.7.ser#21,FA_20240517_2H_yeast_1.7.ser#22,FA_20240517_2H_yeast_1.7.ser#23,FA_20240517_2H_yeast_1.7.ser#24,FA_20240517_2H_yeast_1.7.ser#25,FA_20240517_2H_yeast_1.7.ser#26,FA_20240517_2H_yeast_1.7.ser#27,FA_20240517_2H_yeast_1.7.ser#28,FA_20240517_2H_yeast_1.7.ser#29,FA_20240517_2H_yeast_1.7.ser#30,FA_20240517_2H_yeast_1.7.ser#31,FA_20240517_2H_yeast_1.7.ser#32,FA_20240517_2H_yeast_1.7.ser#33,FA_20240517_2H_yeast_1.7.ser#34,FA_20240517_2H_yeast_1.7.ser#35,FA_20240517_2H_yeast_1.7.ser#36,FA_20240517_2H_yeast_1.7.ser#37,FA_20240517_2H_yeast_1.7.ser#38,FA_20240517_2H_yeast_1.7.ser#39,FA_20240517_2H_yeast_1.7.ser#40,FA_20240517_2H_yeast_1.7.ser#41,FA_20240517_2H_yeast_1.7.ser#42,FA_20240517_2H_yeast_1.7.ser#43,FA_20240517_2H_yeast_1.7.ser#44,FA_20240517_2H_yeast_1.7.ser#45,FA_20240517_2H_yeast_1.7.ser#46,FA_20240517_2H_yeast_1.7.ser#47,FA_20240517_2H_yeast_1.7.ser#48,FA_20240517_2H_yeast_1.7.ser#49,FA_20240517_2H_yeast_1.7.ser#50
3.11991,-1210.37,1672.89,1373.52,837.076,150.140,1737.73,649.137,-605.441,1088.95,1548.22,-1445.08,-94.1528,1784.48,-989.064,83.7816,-485.348,-382.873,2059.82,168.870,185.213,1443.37,1743.62,1167.10,684.912,497.086,-643.969,947.356,-721.738,-865.212,-1504.24,1000.55,484.573,-1110.27,2041.45,2619.31,1387.43,163.690,-1453.44,2397.37,204.360,-217.765,3267.15,282.983,2189.10,-336.775,-1111.47,2656.30,-1072.81,-2340.62,1619.70
3.12805,-841.858,1093.04,1970.34,230.722,459.417,1176.69,1089.30,-749.833,1371.53,1890.24,-1880.29,-525.237,1778.65,-239.732,507.293,-323.931,-63.4669,2241.44,88.6978,18.6795,957.407,1040.95,1324.81,611.272,-130.944,-410.818,592.838,-743.884,-785.796,-1134.26,500.525,748.444,-897.660,1800.83,2228.90,636.489,-209.460,-1467.73,2038.03,26.3229,52.4811,2528.04,509.104,1903.49,-135.316,-950.523,2350.93,-398.314,-2525.35,1402.07
3.13620,-364.777,627.213,2490.28,293.692,469.957,826.737,1398.20,-1153.26,2117.88,1828.96,-2224.79,-870.362,1120.94,1.18061,481.031,200.084,528.322,2661.79,-210.887,204.222,265.599,303.134,1341.03,446.674,-922.868,-146.998,71.2361,-496.238,-359.112,-1050.63,687.014,961.623,-649.818,1069.32,1442.23,106.923,-545.665,-937.377,1595.38,-55.5703,129.887,1590.45,360.363,1517.00,532.104,-886.724,1472.40,550.620,-2357.44,1072.56
3.14434,-21.1111,526.372,2744.30,890.498,595.288,740.115,1549.92,-1692.16,2757.93,1264.05,-2100.38,-1017.36,484.937,-205.060,193.972,598.418,986.091,3066.69,-367.898,412.709,-399.905,-189.881,1357.04,-37.2570,-1509.81,-137.393,-346.866,-39.0731,107.481,-1342.43,1048.66,796.892,-297.417,615.623,583.525,41.6965,-894.299,-530.924,1162.55,-242.111,175.516,782.825,245.993,801.205,847.123,-686.777,260.557,1371.85,-1949.64,413.682
3.15249,247.525,469.903,2909.94,1404.87,739.183,670.793,1546.48,-1887.24,3016.37,518.247,-1330.74,-702.716,-60.3529,-537.256,-360.802,823.804,1317.52,3504.15,122.480,546.734,-660.277,-142.913,1309.03,-566.104,-1915.86,-256.080,-28.8273,415.349,121.790,-1532.68,1141.90,384.506,107.354,764.477,-163.708,254.878,-571.866,-502.592,685.600,-762.968,30.4443,386.260,446.678,-95.6372,472.531,-428.186,-517.749,1582.76,-1761.16,-7.09637
3.16063,509.300,502.311,2961.30,1389.42,483.069,650.682,1186.42,-1506.94,2930.76,259.363,-80.9728,142.540,-259.509,-732.597,-802.595,826.397,1227.59,3821.36,789.832,344.431,-99.0118,341.288,1206.16,-1054.96,-1758.70,-595.082,678.178,593.783,-162.605,-1098.32,1107.65,135.159,93.1905,1239.12,-642.500,779.669,192.956,-667.923,372.221,-1273.67,-560.573,203.898,708.766,-659.149,-432.926,-236.120,-433.876,1169.57,-1807.87,242.924
3.16878,778.443,810.246,2655.02,853.807,56.0417,665.405,586.982,-885.408,2683.22,627.008,902.195,1185.24,117.593,-858.017,-999.815,722.086,625.292,3998.40,822.929,124.205,870.461,930.002,1038.00,-1172.71,-1144.81,-851.761,840.368,375.998,-549.764,-340.496,1044.80,226.168,-147.142,1430.55,-843.832,1428.12,874.752,-479.235,211.027,-1490.16,-999.541,579.582,832.920,-799.406,-1279.72,-217.034,-82.4401,634.741,-1810.14,743.636
3.17692,999.117,1141.45,2158.04,418.941,57.0740,774.352,247.362,-163.331,2566.79,997.363,1421.99,1841.92,505.957,-806.948,-766.055,636.431,291.190,3880.34,280.484,430.919,1464.77,889.128,576.723,-903.818,-732.228,-549.257,466.158,73.6444,-678.695,385.058,829.895,176.371,-495.578,1350.44,-731.589,1636.42,1504.62,-362.831,-104.457,-1440.72,-1032.15,1461.73,916.225,-608.133,-1489.43,-474.484,64.2934,285.373,-1390.37,917.458
3.18507,1293.59,1606.15,1733.30,292.798,376.500,1209.51,269.239,467.369,2441.82,1151.49,1489.22,1926.12,481.352,-545.965,-292.811,465.966,400.621,3509.54,-339.212,1048.20,1459.49,348.549,98.5921,-515.858,-565.385,124.138,261.399,-194.910,-479.215,712.896,238.344,-494.411,-875.661,1126.16,-318.940,1516.73,1867.10,-556.635,-494.108,-1096.80,-806.596,2169.66,983.010,-264.504,-1112.51,-639.154,75.7307,355.335,-904.232,852.248
3.19322,1731.03,2340.79,1430.77,207.395,791.538,1646.08,332.550,871.788,2342.62,965.567,1408.52,1559.52,454.045,-398.554,-196.582,41.9278,626.909,2967.12,-638.166,943.965,1422.29,-78.6611,76.7924,8.68485,-399.462,1110.18,326.541,-517.384,-201.077,752.502,-340.106,-1306.62,-1204.31,1098.01,493.794,1310.33,1739.69,-707.749,-494.482,-616.949,-759.631,2040.37,1028.20,0.368271,-491.439,-651.991,345.401,641.678,-1130.16,659.461
