2H chemical shift (ppm),FA_20240517_2H_yeast_1.8.ser#1,FA_20240517_2H_yeast_1.8.ser#2,FA_20240517_2H_yeast_1.8.ser#3,FA_20240517_2H_yeast_1.8.ser#4,FA_20240517_2H_yeast_1.8.ser#5,FA_20240517_2H_yeast_1.8.ser#6,FA_20240517_2H_yeast_1.8.ser#7,FA_20240517_2H_yeast_1.8.ser#8,FA_20240517_2H_yeast_1.8.ser#9,FA_20240517_2H_yeast_1.8.ser#10,FA_20240517_2H_yeast_1.8.ser#11,FA_20240517_2H_yeast_1.8.ser#12,FA_20240517_2H_yeast_1.8.ser#13,FA_20240517_2H_yeast_1.8.ser#14,FA_20240517_2H_yeast_1.8.ser#15,FA_20240517_2H_yeast_1.8.ser#16,FA_20240517_2H_yeast_1.8.ser#17,FA_20240517_2H_yeast_1.8.ser#18,FA_20240517_2H_yeast_1.8.ser#19,FA_20240517_2H_yeast_1.8.ser#20,FA_20240517_2H_yeast_1.8.ser#21,FA_20240517_2H_yeast_1.8.ser#22,FA_20240517_2H_yeast_1.8.ser#23,FA_20240517_2H_yeast_1.8.ser#24,FA_20240517_2H_yeast_1.8.ser#25,FA_20240517_2H_yeast_1.8.ser#26,FA_20240517_2H_yeast_1.8.ser#27,FA_20240517_2H_yeast_1.8.ser#28,FA_20240517_2H_yeast_1.8.ser#29,FA_20240517_2H_yeast_1.8.ser#30,FA_20240517_2H_yeast_1.8.ser#31,FA_20240517_2H_yeast_1.8.ser#32,FA_20240517_2H_yeast_1.8.ser#33,FA_20240517_2H_yeast_1.8.ser#34,FA_20240517_2H_yeast_1.8.ser#35,FA_20240517_2H_yeast_1.8.ser#36,FA_20240517_2H_yeast_1.8.ser#37,FA_20240517_2H_yeast_1.8.ser#38,FA_20240517_2H_yeast_1.8.ser#39,FA_20240517_2H_yeast_1.8.ser#40,FA_20240517_2H_yeast_1.8.ser#41,FA_20240517_2H_yeast_1.8.ser#42,FA_20240517_2H_yeast_1.8.ser#43,FA_20240517_2H_yeast_1.8.ser#44,FA_20240517_2H_yeast_1.8.ser#45,FA_20240517_2H_yeast_1.8.ser#46,FA_20240517_2H_yeast_1.8.ser#47,FA_20240517_2H_yeast_1.8.ser#48,FA_20240517_2H_yeast_1.8.ser#49,FA_20240517_2H_yeast_1.8.ser#50
2.19947,1235.46,-2192.48,621.439,261.847,-1236.01,-952.271,-298.389,-384.076,126.93,1894.84,-165.816,487.747,212.19,-2692.79,1448.3,879.099,1638.57,-604.223,-459.428,998.352,-1084.97,-1581.33,-714.822,-360.482,511.258,-1321.52,421.014,-367.501,-492.908,346.298,986.62,-315.968,2069.36,-1830.3,502.504,1251.55,-568.721,-954.688,733.068,-851.525,80.3628,1788.21,75.3013,425.039,1959.51,-667.229,-520.873,-254.385,-29.8824,2364.37
2.20762,1081.59,-2378.07,675.683,579.269,-1391.66,-955.424,-194.924,-583.035,437.163,1954.37,-46.6027,-11.5906,52.1321,-1806.43,846.953,896.359,1904.02,-10.1309,-791.932,1356.99,-1229.04,-2014.07,-1232.82,-345.159,100.622,-995.951,426.068,-1188.34,-608.545,-76.8783,1111.7,-464.405,1890.67,-1542.94,480.404,1134.89,-996.946,-659.673,742.034,-589.203,-651.543,1562.16,82.9508,967.05,1520.37,-681.334,-127.505,-631.068,-132.718,998.043
2.21576,1149,-2775.38,758.275,1120.73,-1583.24,-939.602,30.26,-615.213,567.339,1723.54,210.239,146.118,200.656,-1397.55,411.947,710.821,2267.72,299.12,-787.188,1898.53,-1382.98,-1986.91,-1507.97,-207.094,-190.963,-693.839,183.673,-1801.34,-449.488,126.804,1399.33,-276.633,1700.24,-1222.58,232.43,1217.15,-1324.57,-24.6821,201.819,71.7557,-822.174,1142.94,487.179,2018.34,1020.47,-691.171,149.707,-732.646,224.175,-428.33
2.22391,1382.95,-2886.83,610.453,1726.37,-1557.15,-984.144,18.7712,-475.046,208.887,1515.36,299.487,699.757,358.776,-1500.36,377.306,446.901,2658.8,263.761,-37.0339,1954.76,-1088.76,-1312.76,-1602.33,-278.592,-291.292,-570.231,-16.0113,-1620.78,207.122,213.595,1538.48,-20.8426,1859.78,-788.357,-15.8492,1387.55,-1127.79,310.173,-696.515,436.323,-737.904,1215.39,973.309,3124.66,729.007,-835.663,587.793,-663.846,473.436,-907.241
2.23205,1557.6,-2687.22,826.19,2160.9,-1236.03,-1160.63,76.2686,-614.526,-34.3516,1524.27,617.973,911.242,344.346,-1301.89,619.134,-29.5625,2893.93,-93.6012,833.248,1310.81,-501.89,-282.713,-1221.37,-421.446,38.7119,-582.358,-131.039,-1138.86,653.902,-167.295,1474.46,168.018,2014.96,-464.909,-69.5356,1210.1,-589.06,309.972,-1367.75,415.062,-662.185,1204.52,1252.15,3738.52,690.792,-917.319,936.945,-362.358,485.514,-467.69
2.2402,1543,-2376.46,1033.95,2245.34,-1132.95,-1114.94,414.082,-852.101,366.305,1597.51,1064.75,915.489,476.428,-787.643,911.084,-186.076,2717.64,-622.768,1356.38,536.788,-361.098,558.935,-566.18,38.9347,504.427,-876.707,-110.664,-784.205,477.084,-691.901,1328.62,176.406,1548.63,-332.413,273.036,606.781,-217.479,259.304,-1532.89,320.38,-496.372,868.591,1199.41,3621.6,1030.41,-1071.47,1232.21,-264.718,696.145,356.094
2.24834,1546.73,-1688.67,841.236,1656.82,-1399.95,-439.017,1018.07,-778.23,1028.2,1353.25,1399.35,701.512,540.011,-220.627,1011.31,220.681,2052.32,-857.245,1238.83,169.711,-785.327,1170.69,-28.254,896.863,942.853,-1148.35,18.7958,-254.884,397.91,-926.384,1205.71,-4.02695,731.919,-294.367,813.093,38.5843,45.8751,190.925,-1340.87,87.6961,-407.278,860.974,812.517,3345.31,765.817,-1256.5,1811.97,-491.499,875.134,1181.01
2.25649,1677.04,-578.245,956.424,986.12,-1379.95,429.933,1336.35,-823.76,1340.17,709.488,1459.68,446.452,376.957,28.0274,1029.2,393.467,762.526,-642.08,730.247,213.522,-1034.54,1693.06,225.259,1305.19,1312.2,-1149.57,-99.9975,195.328,641.337,-594.355,1202.1,147.546,306.388,-514.186,1436.99,-75.9423,138.71,-98.8718,-1097.47,-132.609,-630.592,1250.93,116.19,3409.75,-235.369,-1242.51,1976.14,-447.032,957.965,1410.13
2.26463,1778.86,125.124,1534.7,977.595,-1061.64,625.411,1091.23,-797.648,1518.25,274.623,1085.96,372.671,325.759,86.9726,1218.06,144.41,-579.622,-314.857,412.358,527.298,-1027.59,1753.66,47.9573,1466.32,1857.08,-754.201,-267.026,53.0998,893.198,-70.0006,1242.61,922.783,349.479,-1010.35,1850.77,59.5286,252.194,-331.434,-1089.45,-107.86,-1116.6,1273.12,-630.096,3755.2,-1226.67,-1468.74,1681.36,-340.992,1058.72,940.875
2.27278,1553.07,107.957,2368.26,915.436,-690.213,341.283,697.748,-137.723,1702.23,299.115,400.51,525.084,523.103,34.0202,1296.2,59.5167,-1076.43,131.662,340.434,950.36,-1285.71,1237.66,-677.888,1899.39,2231.97,31.2861,-263.258,-374.273,926.41,189.109,1602.2,1860.95,527.04,-1312.65,1576.38,-36.3399,401.387,-144.832,-1404.1,-100.935,-1452.02,819.079,-917.328,3765.86,-1722.29,-1989.83,1467.43,-109.891,1070.67,227.998
