,FA_20240108_2H_yeast_1.7.ser#1,FA_20240108_2H_yeast_1.7.ser#2,FA_20240108_2H_yeast_1.7.ser#3,FA_20240108_2H_yeast_1.7.ser#4,FA_20240108_2H_yeast_1.7.ser#5,FA_20240108_2H_yeast_1.7.ser#6,FA_20240108_2H_yeast_1.7.ser#7,FA_20240108_2H_yeast_1.7.ser#8,FA_20240108_2H_yeast_1.7.ser#9,FA_20240108_2H_yeast_1.7.ser#10,FA_20240108_2H_yeast_1.7.ser#11,FA_20240108_2H_yeast_1.7.ser#12,FA_20240108_2H_yeast_1.7.ser#13,FA_20240108_2H_yeast_1.7.ser#14,FA_20240108_2H_yeast_1.7.ser#15,FA_20240108_2H_yeast_1.7.ser#16,FA_20240108_2H_yeast_1.7.ser#17,FA_20240108_2H_yeast_1.7.ser#18,FA_20240108_2H_yeast_1.7.ser#19,FA_20240108_2H_yeast_1.7.ser#20,FA_20240108_2H_yeast_1.7.ser#21,FA_20240108_2H_yeast_1.7.ser#22,FA_20240108_2H_yeast_1.7.ser#23,FA_20240108_2H_yeast_1.7.ser#24,FA_20240108_2H_yeast_1.7.ser#25,FA_20240108_2H_yeast_1.7.ser#26,FA_20240108_2H_yeast_1.7.ser#27,FA_20240108_2H_yeast_1.7.ser#28,FA_20240108_2H_yeast_1.7.ser#29,FA_20240108_2H_yeast_1.7.ser#30,FA_20240108_2H_yeast_1.7.ser#31,FA_20240108_2H_yeast_1.7.ser#32,FA_20240108_2H_yeast_1.7.ser#33,FA_20240108_2H_yeast_1.7.ser#34,FA_20240108_2H_yeast_1.7.ser#35,FA_20240108_2H_yeast_1.7.ser#36,FA_20240108_2H_yeast_1.7.ser#37,FA_20240108_2H_yeast_1.7.ser#38,FA_20240108_2H_yeast_1.7.ser#39,FA_20240108_2H_yeast_1.7.ser#40
7.06208,-185.622,166.541,169.399,-612.536,-45.8898,153.093,-135.888,-74.1343,358.887,-424.252,663.023,-319.731,73.8154,-25.7633,169.956,364.058,-227.671,189.464,67.2574,-376.253,-238.024,-304.812,-475.386,333.263,105.180,-370.549,86.2990,401.697,-126.133,-131.195,-516.144,241.000,61.8853,-119.617,-344.797,-221.296,-168.395,151.034,-203.126,67.8486
7.07023,-20.2345,3.14661,137.768,-586.148,-141.771,110.444,-193.137,-101.503,352.545,-323.728,508.528,-337.949,-32.7694,46.8344,122.527,287.399,-236.681,199.304,67.2777,-321.610,-158.118,-365.279,-472.235,349.308,166.829,-328.831,63.0273,423.764,-35.6752,-123.575,-458.705,247.927,127.782,-64.0234,-383.846,-150.537,-208.455,172.419,-109.059,121.121
7.07837,145.153,-160.247,106.137,-559.759,-237.653,67.7964,-250.386,-128.871,346.202,-223.205,354.032,-356.167,-139.354,119.432,75.0979,210.739,-245.691,209.145,67.2980,-266.968,-78.2114,-425.746,-469.084,365.352,228.479,-287.113,39.7557,445.830,54.7830,-115.955,-401.266,254.854,193.680,-8.42944,-422.894,-79.7783,-248.514,193.803,-14.9928,174.393
7.08652,202.588,-218.091,14.9661,-463.167,-241.927,76.3580,-338.191,-149.791,307.334,-123.356,186.523,-313.766,-258.908,157.346,32.3207,123.098,-325.792,216.135,27.7866,-220.298,-20.8983,-478.540,-489.200,227.766,200.545,-359.357,-59.8771,407.521,84.6567,-121.349,-352.238,263.748,250.505,-43.7797,-488.398,-7.94434,-346.342,242.930,169.417,176.658
7.09466,260.023,-275.935,-76.2052,-366.574,-246.201,84.9197,-425.996,-170.710,268.465,-23.5072,19.0137,-271.365,-378.461,195.261,-10.4567,35.4565,-405.894,223.126,-11.7247,-173.627,36.4149,-408.561,-509.315,90.1802,172.611,-431.600,-159.510,369.213,114.531,-126.743,-303.210,272.643,307.329,-79.1299,-553.902,63.8895,-444.170,292.057,353.827,178.923
7.10281,284.662,-220.504,-167.376,-269.981,-198.865,69.1566,-413.800,-140.036,323.271,33.1454,-59.2606,-280.555,-342.392,233.175,-53.2340,-52.1848,-454.399,264.312,-51.2361,-201.364,200.048,-233.715,-529.431,-47.4059,92.7444,-427.870,-259.143,330.904,144.405,-208.853,-254.182,313.016,395.260,-114.480,-510.869,152.921,-464.974,288.341,462.296,234.880
7.11095,309.301,-165.074,-258.547,-173.388,-151.529,53.3936,-401.603,-109.363,378.078,25.0039,-137.535,-289.745,-306.324,271.089,-96.0114,-139.826,-502.904,305.499,-90.7474,-229.100,363.681,-58.8677,-549.546,-184.992,12.8780,-424.139,-358.776,292.595,174.278,-290.963,-205.155,353.390,483.190,-149.830,-467.835,241.952,-485.777,284.626,445.070,290.836
7.11910,318.610,-158.437,-326.588,-147.021,-55.8489,67.7563,-321.893,-77.2379,378.037,-105.765,-56.6656,-307.680,-214.774,327.736,-217.906,-235.318,-443.908,332.303,-86.4338,-213.696,477.768,44.8414,-582.462,-261.101,-46.8647,-336.929,-430.956,241.858,182.732,-276.193,-214.869,272.479,425.110,-112.906,-412.061,244.146,-480.791,196.322,300.431,328.546
7.12724,327.920,-151.800,-394.628,-120.653,39.8308,184.539,-242.183,-45.1132,377.996,-301.329,24.2035,-325.616,-123.225,384.383,-339.801,-330.810,-384.912,359.108,-82.1201,-198.291,591.854,148.551,-615.379,-337.210,-106.607,-249.719,-503.135,191.122,191.186,-261.424,-224.583,191.567,367.030,-75.9818,-356.287,246.340,-475.805,108.017,155.792,366.256
7.13539,395.988,-114.270,-462.668,-167.770,143.252,329.486,-195.806,-85.2187,284.281,-494.192,171.999,-250.689,-62.7996,472.440,-387.271,-272.554,-325.916,385.913,-129.651,-87.2207,599.620,160.180,-648.295,-296.266,-114.417,-129.949,-499.630,140.385,98.1958,-126.101,-269.405,142.135,236.369,16.9081,-300.513,214.141,-415.802,19.7133,-93.5931,350.275
7.14353,464.055,-76.7402,-530.708,-214.888,184.742,412.982,-149.430,-125.324,190.566,-622.262,200.814,-175.762,-2.37451,560.498,-434.741,-214.298,-266.920,412.717,-177.182,23.8497,607.387,171.810,-681.211,-255.323,-122.228,-10.1788,-496.124,89.6484,5.20593,9.22205,-314.227,92.7032,105.709,109.798,-244.739,181.941,-355.798,-68.5909,-342.978,334.293
7.15168,650.324,-95.8472,-604.837,-244.290,210.103,381.256,-84.9973,-162.850,173.612,-628.168,134.818,-86.6475,166.338,573.300,-317.415,-53.0857,-226.355,359.019,-203.327,36.5968,548.703,200.065,-590.042,-94.0023,-92.3867,22.7632,-379.766,52.0369,-92.7152,58.2397,-310.044,110.820,26.8912,213.181,-179.468,123.587,-222.897,-143.024,-536.062,229.049
7.15982,902.184,-114.954,-678.967,-273.692,297.396,349.530,-20.5651,-200.376,156.658,-526.083,68.8210,2.46704,335.050,586.102,-200.089,108.126,-185.790,305.321,-229.472,49.3440,490.019,228.321,-498.872,67.3185,-62.5458,55.7053,-263.408,14.4253,-190.636,107.257,-305.862,128.937,-51.9263,316.565,-114.197,65.2330,-89.9955,-217.457,-603.452,123.805
7.16797,1182.74,-134.061,-753.096,-208.614,404.043,242.270,77.2010,-111.499,233.378,-325.458,25.1331,-21.9175,503.761,598.903,-82.7628,203.447,-197.885,251.622,-255.618,-118.611,325.016,287.269,-351.300,154.152,-84.6375,88.6475,-222.736,-54.6865,-187.114,57.6404,-243.165,147.054,-58.1637,386.369,-114.048,6.87915,9.89539,-133.364,-553.002,93.7296
7.17611,1332.11,-153.168,-827.225,-143.535,407.470,135.009,174.967,-22.6218,310.098,-124.832,-18.5549,-46.3021,672.474,611.705,34.5634,298.767,-209.980,197.924,-281.763,-286.566,160.012,346.217,-203.728,240.985,-106.729,121.590,-182.063,-123.798,-183.592,8.02344,-180.469,165.171,-64.4010,456.173,-113.900,-51.4746,109.786,-49.2705,-502.552,63.6539
7.18426,1370.12,-90.5375,-893.236,61.6246,293.485,21.9877,152.940,-0.815674,380.964,57.9072,-30.9486,-74.7172,657.033,672.932,178.137,347.413,-211.873,112.880,-275.343,-489.067,57.4712,332.909,-104.803,264.969,-108.048,175.391,-246.134,-156.816,-153.828,-48.4432,-152.150,228.211,-43.4208,437.831,-176.839,-77.5839,95.8601,101.206,-445.064,92.6390
7.19240,1276.94,-27.9071,-959.246,266.784,179.500,-91.0339,130.913,-102.833,451.830,132.657,-43.3424,-103.132,641.592,734.160,321.711,396.060,-213.765,27.8348,-268.923,-691.568,-45.0695,319.601,-5.87769,288.953,-109.366,229.192,-310.205,-189.834,-124.064,-104.910,-123.830,291.251,-22.4407,419.489,-239.778,-103.693,81.9338,251.682,-387.577,121.624
7.20055,1150.97,34.7231,-992.780,427.328,93.9003,-152.846,31.1067,-200.981,408.205,106.165,-125.141,-162.501,553.528,795.387,348.333,510.599,-215.658,-57.2097,-262.503,-794.417,-83.8182,255.137,14.0836,281.013,-79.5253,282.993,-255.342,-86.3507,-37.9427,-128.498,-130.619,259.854,50.3826,322.795,-237.595,-95.4080,-9.01685,328.179,-330.089,150.609
7.20869,1025.00,97.3535,-1026.31,461.897,111.520,-214.658,-68.6993,-237.217,364.579,79.6740,-206.940,-221.871,465.464,856.615,268.634,625.137,-217.550,-142.254,-256.083,-790.971,-122.567,190.674,34.0448,273.074,-49.6844,336.794,-200.478,17.1323,48.1786,-152.087,-137.407,228.457,123.206,226.102,-235.411,-87.1229,-99.9675,404.676,-272.602,179.594
7.21684,1004.24,206.323,-994.218,442.337,173.654,-284.151,-56.6984,-150.919,246.144,86.9296,-319.723,-317.353,395.556,734.610,119.163,680.648,-258.280,-113.312,-306.693,-717.768,-173.276,128.128,22.2795,240.527,-86.7066,305.124,-160.481,99.6152,127.255,-151.016,-238.914,94.7527,210.934,100.725,-112.480,-46.5931,-101.515,497.026,-199.403,154.217
