,FA_20240124_2H_yeast_1.5.ser#1,FA_20240124_2H_yeast_1.5.ser#2,FA_20240124_2H_yeast_1.5.ser#3,FA_20240124_2H_yeast_1.5.ser#4,FA_20240124_2H_yeast_1.5.ser#5,FA_20240124_2H_yeast_1.5.ser#6,FA_20240124_2H_yeast_1.5.ser#7,FA_20240124_2H_yeast_1.5.ser#8,FA_20240124_2H_yeast_1.5.ser#9,FA_20240124_2H_yeast_1.5.ser#10,FA_20240124_2H_yeast_1.5.ser#11,FA_20240124_2H_yeast_1.5.ser#12,FA_20240124_2H_yeast_1.5.ser#13,FA_20240124_2H_yeast_1.5.ser#14,FA_20240124_2H_yeast_1.5.ser#15,FA_20240124_2H_yeast_1.5.ser#16,FA_20240124_2H_yeast_1.5.ser#17,FA_20240124_2H_yeast_1.5.ser#18,FA_20240124_2H_yeast_1.5.ser#19,FA_20240124_2H_yeast_1.5.ser#20,FA_20240124_2H_yeast_1.5.ser#21,FA_20240124_2H_yeast_1.5.ser#22,FA_20240124_2H_yeast_1.5.ser#23,FA_20240124_2H_yeast_1.5.ser#24,FA_20240124_2H_yeast_1.5.ser#25,FA_20240124_2H_yeast_1.5.ser#26,FA_20240124_2H_yeast_1.5.ser#27,FA_20240124_2H_yeast_1.5.ser#28,FA_20240124_2H_yeast_1.5.ser#29,FA_20240124_2H_yeast_1.5.ser#30,FA_20240124_2H_yeast_1.5.ser#31,FA_20240124_2H_yeast_1.5.ser#32,FA_20240124_2H_yeast_1.5.ser#33,FA_20240124_2H_yeast_1.5.ser#34,FA_20240124_2H_yeast_1.5.ser#35,FA_20240124_2H_yeast_1.5.ser#36,FA_20240124_2H_yeast_1.5.ser#37,FA_20240124_2H_yeast_1.5.ser#38,FA_20240124_2H_yeast_1.5.ser#39,FA_20240124_2H_yeast_1.5.ser#40,FA_20240124_2H_yeast_1.5.ser#41,FA_20240124_2H_yeast_1.5.ser#42,FA_20240124_2H_yeast_1.5.ser#43,FA_20240124_2H_yeast_1.5.ser#44,FA_20240124_2H_yeast_1.5.ser#45,FA_20240124_2H_yeast_1.5.ser#46,FA_20240124_2H_yeast_1.5.ser#47,FA_20240124_2H_yeast_1.5.ser#48,FA_20240124_2H_yeast_1.5.ser#49,FA_20240124_2H_yeast_1.5.ser#50
4.84660,14996.5,13062.8,12088.6,13560.1,12330.2,13771.9,11708.2,12136.6,13830.4,12131.0,10898.9,12529.2,13243.3,13764.6,13123.6,11021.8,10726.3,13147.3,12218.2,11653.3,14027.5,11366.1,12437.7,12551.8,12012.6,10532.6,12364.9,11573.3,11639.2,12345.0,12598.6,12800.2,12754.9,12603.0,14558.1,10301.5,13333.7,13090.1,14016.0,15607.2,13644.6,13297.5,13689.7,14800.1,14765.9,13758.9,13825.6,14961.2,14470.4,12858.0
4.85475,14117.4,11616.7,11020.1,12583.0,11499.5,12674.0,10907.5,11432.0,12463.8,11130.2,10063.7,11607.0,12052.0,13113.0,11991.3,10466.1,9787.82,12125.0,11076.9,11076.9,13431.8,10336.3,11859.9,11666.3,11369.2,9717.29,11428.9,10089.5,10610.6,11732.5,12038.3,12081.7,11669.7,12403.4,13575.6,9210.07,12288.0,12032.4,13450.3,14701.8,12702.3,12243.1,12437.7,13644.0,13633.6,12758.8,12863.5,13869.1,13237.4,11626.2
4.86289,13452.7,10404.5,10010.0,11598.3,10564.8,11599.6,10345.6,10830.6,11397.6,10172.9,9550.10,10711.7,10964.8,12613.5,10846.3,10119.9,9006.16,11205.4,10072.8,10644.7,12742.8,9239.78,11184.2,10938.3,10838.8,9005.85,10712.5,8804.58,9719.96,11395.2,11382.5,11363.0,10800.1,12364.4,12608.2,8533.43,11223.7,11109.9,12892.3,13770.8,11853.0,11333.1,11502.1,12625.5,12580.7,11947.8,12051.6,12891.8,12169.2,10598.6
4.87104,12907.8,9537.23,9126.41,10569.8,9708.22,10624.2,9977.35,10268.9,10665.5,9289.95,9240.97,9987.07,9973.14,12143.7,9766.44,9822.13,8419.34,10432.5,9340.04,10218.0,12004.0,8251.40,10416.7,10264.1,10338.4,8284.62,10255.0,7925.36,9089.98,11176.3,10639.0,10708.9,10248.4,12250.3,11775.7,8162.54,10221.2,10324.0,12269.1,12812.8,11131.1,10483.1,10744.1,11773.5,11601.0,11292.7,11347.4,12069.6,11262.5,9765.68
4.87918,12405.6,8935.34,8372.19,9611.80,9066.59,9685.61,9678.04,9764.85,10164.2,8525.17,9024.84,9444.21,9111.21,11558.4,8877.04,9536.73,7978.68,9779.81,8916.05,9779.57,11226.4,7548.03,9662.15,9578.77,9823.05,7585.44,10076.4,7408.54,8685.14,10961.9,9982.92,10186.0,10038.2,11896.7,11081.1,7909.73,9391.61,9582.63,11642.3,11766.4,10477.2,9568.06,9976.15,11010.4,10607.2,10703.4,10752.4,11311.5,10485.0,9050.39
4.88733,11848.3,8400.80,7689.00,8830.15,8548.80,8807.75,9412.54,9342.19,9743.91,7857.38,8801.27,9027.32,8295.99,10808.8,8158.55,9239.21,7545.81,9200.38,8677.17,9348.20,10389.2,7119.69,8954.41,8792.61,9326.31,6921.04,10070.9,7085.20,8421.53,10732.7,9402.63,9788.32,10014.2,11293.8,10466.4,7616.81,8804.15,8812.27,11060.7,10692.6,9812.15,8634.67,9201.92,10308.0,9623.29,10120.9,10200.8,10563.5,9814.02,8442.16
4.89547,11229.6,7788.26,7129.58,8158.02,7991.90,8140.48,9149.24,9045.68,9299.51,7192.56,8442.05,8731.68,7420.62,10000.7,7544.37,8839.13,7045.81,8663.09,8493.77,8932.26,9630.54,6796.97,8286.96,7928.38,8934.61,6275.58,9991.36,6851.45,8291.44,10477.9,8832.60,9372.13,9919.91,10611.7,9914.51,7190.29,8395.01,8068.10,10538.1,9747.57,9105.48,7877.95,8507.16,9717.12,8730.36,9473.25,9610.20,9850.00,9178.66,7953.37
4.90362,10610.7,7108.03,6711.94,7564.36,7312.29,7801.16,8866.45,8861.45,8846.00,6467.79,7916.96,8571.08,6571.54,9279.67,7089.45,8299.56,6557.79,8162.03,8249.14,8539.75,9024.30,6496.74,7682.53,7103.41,8595.93,5720.54,9711.02,6584.90,8302.20,10198.0,8361.33,8828.24,9594.63,9933.09,9397.74,6712.09,8027.51,7491.26,9988.00,8971.76,8409.35,7430.92,7914.17,9319.46,7945.63,8780.25,8980.07,9124.78,8512.63,7515.89
4.91176,9967.85,6557.51,6344.74,7158.54,6520.39,7751.82,8583.50,8653.22,8483.37,5756.23,7384.21,8503.00,5954.31,8732.50,6788.71,7680.72,6249.22,7760.90,7926.22,8097.59,8408.21,6208.44,7202.45,6345.06,8176.50,5326.17,9307.26,6172.31,8362.96,9925.74,8023.60,8212.72,9014.49,9175.98,8924.24,6314.29,7665.30,7106.95,9264.22,8336.51,7881.36,7266.98,7494.05,9132.00,7245.62,8184.63,8376.23,8317.86,7820.83,7043.50
4.91991,9213.83,6372.94,6013.15,7035.09,5753.02,7717.20,8325.83,8327.88,8208.15,5227.67,6933.92,8387.84,5633.07,8296.76,6473.39,7075.97,6121.08,7494.25,7607.52,7502.85,7694.78,5797.61,6889.61,5655.62,7682.87,5021.67,8845.78,5723.95,8347.44,9705.34,7710.44,7624.52,8316.99,8323.87,8619.06,6017.40,7355.95,6829.51,8403.28,7843.92,7664.83,7229.17,7287.88,8976.92,6645.07,7717.85,7858.16,7443.91,7181.37,6528.24
