,FA_20240517_2H_yeast_1.9.ser#1,FA_20240517_2H_yeast_1.9.ser#2,FA_20240517_2H_yeast_1.9.ser#3,FA_20240517_2H_yeast_1.9.ser#4,FA_20240517_2H_yeast_1.9.ser#5,FA_20240517_2H_yeast_1.9.ser#6,FA_20240517_2H_yeast_1.9.ser#7,FA_20240517_2H_yeast_1.9.ser#8,FA_20240517_2H_yeast_1.9.ser#9,FA_20240517_2H_yeast_1.9.ser#10,FA_20240517_2H_yeast_1.9.ser#11,FA_20240517_2H_yeast_1.9.ser#12,FA_20240517_2H_yeast_1.9.ser#13,FA_20240517_2H_yeast_1.9.ser#14,FA_20240517_2H_yeast_1.9.ser#15,FA_20240517_2H_yeast_1.9.ser#16,FA_20240517_2H_yeast_1.9.ser#17,FA_20240517_2H_yeast_1.9.ser#18,FA_20240517_2H_yeast_1.9.ser#19,FA_20240517_2H_yeast_1.9.ser#20,FA_20240517_2H_yeast_1.9.ser#21,FA_20240517_2H_yeast_1.9.ser#22,FA_20240517_2H_yeast_1.9.ser#23,FA_20240517_2H_yeast_1.9.ser#24,FA_20240517_2H_yeast_1.9.ser#25,FA_20240517_2H_yeast_1.9.ser#26,FA_20240517_2H_yeast_1.9.ser#27,FA_20240517_2H_yeast_1.9.ser#28,FA_20240517_2H_yeast_1.9.ser#29,FA_20240517_2H_yeast_1.9.ser#30,FA_20240517_2H_yeast_1.9.ser#31,FA_20240517_2H_yeast_1.9.ser#32,FA_20240517_2H_yeast_1.9.ser#33,FA_20240517_2H_yeast_1.9.ser#34,FA_20240517_2H_yeast_1.9.ser#35,FA_20240517_2H_yeast_1.9.ser#36,FA_20240517_2H_yeast_1.9.ser#37,FA_20240517_2H_yeast_1.9.ser#38,FA_20240517_2H_yeast_1.9.ser#39,FA_20240517_2H_yeast_1.9.ser#40,FA_20240517_2H_yeast_1.9.ser#41,FA_20240517_2H_yeast_1.9.ser#42,FA_20240517_2H_yeast_1.9.ser#43,FA_20240517_2H_yeast_1.9.ser#44,FA_20240517_2H_yeast_1.9.ser#45,FA_20240517_2H_yeast_1.9.ser#46,FA_20240517_2H_yeast_1.9.ser#47,FA_20240517_2H_yeast_1.9.ser#48,FA_20240517_2H_yeast_1.9.ser#49,FA_20240517_2H_yeast_1.9.ser#50
2.52528,911.368,-1261.72,137.582,-218.645,482.466,1266.10,1145.46,-847.346,175.575,826.497,-1213.18,1149.23,-272.097,-649.985,-1792.86,-296.156,1417.44,284.865,-924.658,1453.26,1189.74,-1650.73,-245.690,644.766,443.145,-887.339,1750.83,-133.032,-348.533,-203.142,666.802,3015.34,-2558.52,-2116.00,326.516,-204.190,349.895,-280.365,1638.59,-899.463,-144.780,-288.738,133.106,-122.664,-419.430,209.708,1135.46,116.059,-102.848,1366.13
2.53342,656.396,-1603.30,-473.274,-513.228,174.189,1438.57,1038.33,-910.289,159.476,1029.83,-1476.01,845.306,-868.868,-319.433,-1834.72,-812.034,1603.59,1465.34,-559.150,1325.20,1276.99,-1111.05,648.304,878.630,-51.5954,-191.128,2281.36,66.6701,-1261.02,99.5481,298.728,2759.57,-2216.15,-1783.49,227.625,-899.876,178.089,-300.661,2595.75,-704.181,-340.708,-721.186,-450.300,-135.598,-756.685,-59.8190,1251.63,-215.953,293.251,420.568
2.54157,303.086,-1454.58,-862.189,-660.135,-275.566,1648.22,1474.02,-607.592,348.096,839.081,-1362.41,765.643,-1335.05,-118.009,-1684.78,-1059.79,1718.84,2122.31,-399.801,1265.00,900.437,-817.906,1333.31,719.949,-153.503,452.972,2417.19,444.330,-2006.87,731.676,-243.692,2027.86,-1962.83,-1365.38,160.661,-1353.35,-27.2136,-53.8936,3496.65,-588.834,-412.229,-585.120,-1008.30,134.880,-1306.07,-320.639,1218.50,6.09600,764.984,-81.9801
2.54971,61.9444,-770.767,-1057.00,-673.910,-863.210,1410.67,1978.01,45.9113,296.588,470.142,-1036.35,935.665,-1601.32,-178.236,-1067.73,-842.471,1532.78,1909.53,-281.578,1662.83,250.998,-1063.31,1954.75,443.508,-250.433,1040.84,1973.26,634.296,-2137.75,1315.95,-573.891,1030.97,-1859.99,-832.354,543.246,-1287.56,-97.3301,-188.224,3761.25,-769.437,-80.0059,-171.987,-1084.48,486.055,-1592.15,-617.701,1242.86,664.638,1546.02,-159.571
2.55786,65.9187,-9.26150,-1366.34,-654.647,-1120.54,683.774,2142.62,723.118,32.4491,-7.90835,-650.021,1219.76,-1169.83,-8.70488,-14.9625,-683.836,1203.94,1492.24,96.2514,2123.86,73.8065,-999.258,2246.71,477.525,-579.247,1401.12,1529.08,740.336,-1634.32,1600.64,-640.789,505.832,-1807.63,-545.570,921.013,-692.675,-400.201,-752.513,3522.71,-898.070,141.739,448.572,-708.783,623.558,-1444.29,-891.431,1072.60,1362.15,2067.55,-276.002
2.56600,0.581669,189.888,-1424.26,-1057.97,-919.984,-79.1833,2414.57,1072.55,-429.905,-178.756,-134.860,1497.02,-361.492,141.399,892.729,-1237.00,1174.15,991.567,709.504,2396.46,12.2703,-220.201,1962.80,873.324,-1198.86,1149.97,1669.04,506.026,-1022.84,1775.29,-412.609,718.445,-1706.37,-177.020,835.864,-133.732,-500.976,-1147.07,3328.10,-839.893,-162.833,1034.01,-227.519,503.058,-1223.08,-940.246,296.856,1620.17,2227.17,-686.990
2.57415,-204.072,-6.01111,-1047.85,-1690.73,-511.370,-440.795,2806.80,724.325,-719.118,207.850,303.934,1655.40,392.848,127.066,902.017,-2019.78,1207.21,565.566,1160.22,1864.39,-300.314,854.871,916.569,1448.29,-1951.22,863.015,1718.03,-63.9389,-355.983,1959.66,-172.892,966.147,-1156.10,311.031,829.874,256.102,-93.7835,-877.227,3365.41,-599.350,-653.086,845.092,366.147,107.044,-1096.98,-722.588,-507.657,1613.50,1925.22,-1098.18
2.58229,-467.770,145.317,-345.278,-1619.81,-62.0467,-485.339,2569.72,-150.159,-399.100,925.936,435.667,1481.69,1087.06,94.6500,469.163,-2370.95,1071.47,52.4416,860.068,594.344,-382.995,1936.28,5.64211,1704.13,-2454.63,710.970,1107.02,-459.972,491.060,2231.25,-542.706,881.065,-715.630,444.498,1153.61,693.399,372.234,-353.685,3100.14,-248.147,-920.915,244.891,866.631,-176.226,-920.489,-730.342,-993.549,1521.54,1562.89,-1166.46
2.59044,-950.585,729.063,-94.3558,-823.434,256.602,-614.793,1953.26,-1123.73,328.453,1438.04,220.652,820.725,1341.36,-342.462,15.7551,-2388.11,787.476,-534.009,102.497,-280.603,69.4737,2576.86,-280.112,1575.50,-2435.29,634.078,333.598,-362.363,1188.29,2646.72,-1113.67,957.755,-835.783,90.1815,1533.07,776.851,822.088,231.768,2736.93,148.198,-737.231,265.125,1096.10,-428.224,-1005.69,-727.999,-1259.41,1584.02,1508.64,-931.166
2.59858,-1486.33,1142.00,-171.964,29.7602,496.835,-750.394,1365.38,-1795.33,814.435,1620.08,-14.7399,21.2777,1285.61,-1445.71,-540.873,-2199.67,668.255,-769.445,-99.1052,-823.135,835.915,2652.53,-455.416,1543.30,-2100.82,680.635,-459.525,-0.129922,1147.10,3142.76,-1031.95,1343.39,-1197.21,-307.547,1751.64,557.878,763.738,867.656,2327.60,126.654,-157.401,1048.12,889.820,-660.390,-1469.73,-640.296,-1345.14,1688.21,1732.99,-873.913
2.60673,-1807.06,1013.84,-122.019,650.028,825.793,-951.092,757.265,-2154.29,924.206,1536.23,-85.9687,-334.535,1361.22,-2388.58,-916.190,-1326.35,771.419,-742.547,384.994,-1589.97,1428.89,2339.08,-506.332,1653.43,-1596.17,764.935,-1121.34,-199.732,437.868,3421.70,-406.660,1736.83,-1280.59,-429.071,1403.35,3.97105,355.528,1416.12,1948.00,-276.008,518.568,1770.36,408.981,-593.915,-1879.31,-680.965,-1101.17,1687.78,1802.63,-967.195
2.61487,-1659.06,757.153,64.5864,999.382,1398.36,-1255.69,420.416,-2078.35,731.352,1488.69,185.663,-148.963,1439.10,-2487.07,-1050.62,-134.629,1085.41,-871.575,978.625,-2424.93,1447.27,1624.37,-351.742,1796.67,-949.779,948.574,-1244.15,-861.574,-231.949,3372.25,73.3539,2006.11,-1062.79,-551.666,1062.03,-694.577,-85.9588,1820.00,1987.65,-147.464,1130.78,1969.07,31.1353,-389.702,-1714.01,-509.515,-797.377,1447.52,2092.05,-636.697
2.62302,-962.685,720.061,65.0437,966.367,1944.44,-1169.73,565.863,-1870.85,696.158,1724.77,453.198,90.1853,1586.65,-2205.45,-800.483,689.105,1606.22,-779.040,1502.82,-2537.66,1152.65,570.537,-79.8494,2055.20,-398.732,1434.31,-1008.91,-1301.80,-664.108,2968.67,-64.4600,2006.48,-1004.20,-340.608,1091.64,-873.470,-527.229,1942.30,2266.85,732.266,1509.99,1848.19,0.199446,-480.356,-1347.74,-304.273,-224.593,925.671,2680.85,212.216
2.63116,-43.4094,586.558,-120.162,680.090,2065.10,-499.372,693.167,-1947.88,735.743,1903.20,274.638,26.6918,1692.88,-2170.43,-8.49817,1027.35,1775.14,-473.604,1850.30,-1829.65,603.566,-361.408,284.320,2173.46,-122.231,1681.82,-697.511,-1417.34,-1118.56,2019.74,-587.416,1867.08,-1075.07,337.837,955.414,-547.342,-694.373,1743.35,2266.10,1757.33,1578.12,1657.76,249.384,-891.195,-1349.70,-255.250,443.764,428.991,3072.17,1048.90
2.63931,612.635,149.951,-133.370,442.291,1911.67,226.897,706.297,-1770.03,336.899,1944.24,-15.4013,-178.608,1342.51,-2289.63,805.797,910.417,1515.78,22.9566,1831.21,-976.571,-260.294,-883.651,623.487,1861.93,56.5023,1524.78,-640.542,-1437.01,-1630.79,973.172,-805.068,1377.44,-1037.39,546.053,463.479,-333.457,-467.238,1427.06,1873.40,2219.83,1626.23,1260.79,614.891,-1429.81,-1432.44,-494.079,945.076,58.4397,3162.34,1379.95
