,FA_20231109_2H_yeast_1.5.ser#1,FA_20231109_2H_yeast_1.5.ser#2,FA_20231109_2H_yeast_1.5.ser#3,FA_20231109_2H_yeast_1.5.ser#4,FA_20231109_2H_yeast_1.5.ser#5,FA_20231109_2H_yeast_1.5.ser#6,FA_20231109_2H_yeast_1.5.ser#7,FA_20231109_2H_yeast_1.5.ser#8,FA_20231109_2H_yeast_1.5.ser#9,FA_20231109_2H_yeast_1.5.ser#10,FA_20231109_2H_yeast_1.5.ser#11,FA_20231109_2H_yeast_1.5.ser#12,FA_20231109_2H_yeast_1.5.ser#13,FA_20231109_2H_yeast_1.5.ser#14,FA_20231109_2H_yeast_1.5.ser#15,FA_20231109_2H_yeast_1.5.ser#16,FA_20231109_2H_yeast_1.5.ser#17,FA_20231109_2H_yeast_1.5.ser#18,FA_20231109_2H_yeast_1.5.ser#19,FA_20231109_2H_yeast_1.5.ser#20,FA_20231109_2H_yeast_1.5.ser#21,FA_20231109_2H_yeast_1.5.ser#22,FA_20231109_2H_yeast_1.5.ser#23,FA_20231109_2H_yeast_1.5.ser#24,FA_20231109_2H_yeast_1.5.ser#25,FA_20231109_2H_yeast_1.5.ser#26,FA_20231109_2H_yeast_1.5.ser#27,FA_20231109_2H_yeast_1.5.ser#28,FA_20231109_2H_yeast_1.5.ser#29,FA_20231109_2H_yeast_1.5.ser#30,FA_20231109_2H_yeast_1.5.ser#31,FA_20231109_2H_yeast_1.5.ser#32,FA_20231109_2H_yeast_1.5.ser#33,FA_20231109_2H_yeast_1.5.ser#34,FA_20231109_2H_yeast_1.5.ser#35,FA_20231109_2H_yeast_1.5.ser#36,FA_20231109_2H_yeast_1.5.ser#37,FA_20231109_2H_yeast_1.5.ser#38,FA_20231109_2H_yeast_1.5.ser#39,FA_20231109_2H_yeast_1.5.ser#40,FA_20231109_2H_yeast_1.5.ser#41,FA_20231109_2H_yeast_1.5.ser#42,FA_20231109_2H_yeast_1.5.ser#43,FA_20231109_2H_yeast_1.5.ser#44,FA_20231109_2H_yeast_1.5.ser#45,FA_20231109_2H_yeast_1.5.ser#46,FA_20231109_2H_yeast_1.5.ser#47,FA_20231109_2H_yeast_1.5.ser#48,FA_20231109_2H_yeast_1.5.ser#49,FA_20231109_2H_yeast_1.5.ser#50,FA_20231109_2H_yeast_1.5.ser#51,FA_20231109_2H_yeast_1.5.ser#52,FA_20231109_2H_yeast_1.5.ser#53,FA_20231109_2H_yeast_1.5.ser#54,FA_20231109_2H_yeast_1.5.ser#55,FA_20231109_2H_yeast_1.5.ser#56,FA_20231109_2H_yeast_1.5.ser#57,FA_20231109_2H_yeast_1.5.ser#58,FA_20231109_2H_yeast_1.5.ser#59,FA_20231109_2H_yeast_1.5.ser#60,FA_20231109_2H_yeast_1.5.ser#61,FA_20231109_2H_yeast_1.5.ser#62,FA_20231109_2H_yeast_1.5.ser#63,FA_20231109_2H_yeast_1.5.ser#64,FA_20231109_2H_yeast_1.5.ser#65,FA_20231109_2H_yeast_1.5.ser#66,FA_20231109_2H_yeast_1.5.ser#67,FA_20231109_2H_yeast_1.5.ser#68,FA_20231109_2H_yeast_1.5.ser#69,FA_20231109_2H_yeast_1.5.ser#70
0.692629,-198.098,-207.788,37.3698,-193.448,-399.569,-618.851,-412.813,-153.599,60.9360,-58.5654,-476.916,-165.761,58.1604,-335.172,-168.189,453.096,-557.494,243.376,-64.3661,78.9425,228.676,-550.590,-120.449,-337.320,-209.302,-25.4806,114.717,175.373,-203.643,220.161,449.143,406.402,-477.549,-398.368,102.630,212.971,72.4409,316.886,46.0760,-190.518,-42.7851,-200.545,-250.217,448.227,-266.157,-447.415,-368.883,96.6797,213.308,-227.969,-0.700721,-39.7278,-127.478,-291.102,-314.953,-155.501,-203.785,176.451,172.093,-103.064,103.694,-66.4548,-353.903,-364.690,-148.469,47.6208,-258.562,52.8424,366.928,412.132
0.700774,-281.617,-151.344,58.0842,-204.968,-433.972,-635.481,-332.611,-8.68315,81.8341,-73.3970,-472.275,35.4569,8.10450,-274.316,-210.251,446.291,-656.022,318.224,36.8659,178.159,199.258,-511.061,-72.3773,-418.539,-306.076,104.989,37.9311,71.5336,29.0090,244.805,559.618,329.685,-427.363,-333.642,115.863,142.965,186.061,389.681,129.219,-277.181,-138.291,-289.819,-239.722,402.166,-308.742,-353.026,-262.794,110.956,203.804,-133.533,52.5324,14.6543,-159.918,-203.716,-251.305,-24.6139,-220.103,214.208,236.531,36.2352,31.6585,-61.1062,-324.867,-425.951,-49.4268,20.5869,-210.870,45.3083,259.876,386.102
0.708919,-334.523,-102.719,62.3736,-230.466,-484.734,-622.256,-290.600,72.8637,90.4566,-93.8917,-488.379,213.383,-47.4658,-183.507,-236.116,458.667,-766.231,415.564,77.8810,266.027,149.049,-417.450,-16.6948,-399.021,-395.669,239.611,-63.3673,-49.9664,224.174,282.932,615.838,235.918,-366.024,-219.439,110.163,68.2932,258.245,454.929,164.561,-279.875,-152.219,-315.057,-132.398,390.099,-314.519,-182.362,-107.021,164.547,180.567,23.4628,94.3678,47.6369,-233.136,-109.166,-201.173,118.684,-253.565,235.757,303.375,162.083,-9.82551,-26.4444,-273.421,-460.808,71.2957,12.2329,-170.412,3.64904,171.981,351.633
0.717064,-360.449,-71.6854,43.2015,-221.777,-500.058,-595.912,-303.125,115.870,84.0546,-113.324,-504.401,306.511,-100.788,-41.9853,-228.478,435.822,-864.466,510.006,58.7806,361.677,108.712,-310.321,43.2500,-270.153,-483.136,316.599,-156.425,-108.453,383.046,337.514,594.044,140.841,-311.126,-67.4255,96.5921,5.38962,267.145,495.115,162.915,-201.192,-132.823,-293.960,34.0378,397.968,-304.851,15.4061,0.468147,252.559,160.917,154.531,147.370,70.1485,-335.779,-33.9465,-180.375,252.454,-288.329,235.757,375.203,265.266,-1.53389,4.07168,-212.156,-437.854,185.606,-5.62814,-135.719,-76.6580,138.860,313.444
0.725209,-360.337,-29.3024,-30.1584,-161.311,-458.765,-562.110,-348.190,159.772,68.7133,-113.484,-522.373,298.145,-140.941,151.054,-177.911,356.003,-909.814,567.645,13.2356,453.001,81.9094,-219.706,98.6728,-57.3612,-570.235,318.826,-225.803,-70.8272,523.688,354.300,520.731,46.2451,-254.253,114.139,58.6816,-30.6311,208.632,509.987,146.224,-50.5432,-131.299,-272.249,160.874,393.694,-293.396,184.412,6.56609,321.688,138.589,231.398,242.077,89.4840,-422.499,8.42719,-195.849,374.713,-330.526,208.173,449.157,363.762,42.5722,22.2430,-164.592,-359.003,265.760,-58.6798,-87.3419,-165.492,154.343,280.967
0.733354,-346.814,15.5506,-173.729,-60.2135,-377.364,-489.203,-395.590,220.335,64.8306,-68.0547,-524.181,237.153,-162.581,343.397,-94.9724,230.777,-894.827,578.111,-8.21736,472.093,80.1540,-152.444,129.650,193.769,-661.294,281.391,-269.976,14.8704,609.684,314.735,450.164,-39.6270,-191.719,284.387,16.3673,-38.4664,75.8154,503.177,134.670,158.942,-135.026,-294.404,211.288,368.226,-297.496,277.549,-67.0939,332.939,96.4919,324.733,363.738,113.681,-446.257,22.6068,-242.160,484.452,-384.918,163.805,523.211,474.941,114.026,40.1295,-114.886,-262.734,295.986,-145.709,-21.8689,-228.418,175.909,258.782
0.741499,-340.754,10.0231,-350.276,19.6126,-288.625,-367.351,-408.213,264.564,80.2236,7.39359,-481.610,204.001,-146.204,466.529,-13.5442,96.0985,-847.487,540.069,7.98508,379.736,99.9988,-120.599,147.942,413.136,-730.708,227.782,-273.655,94.1692,604.935,242.704,423.484,-87.9507,-139.869,404.210,7.61669,-68.1654,-87.6935,485.736,132.412,372.307,-109.275,-342.807,227.239,331.493,-326.092,257.604,-165.470,325.693,33.9315,472.446,472.323,124.847,-384.970,10.6527,-323.734,582.022,-419.885,120.251,590.795,570.672,198.651,75.1507,-37.6016,-176.817,282.743,-228.499,32.3568,-254.976,167.418,251.625
0.749644,-368.502,-64.7324,-492.338,23.8868,-230.464,-222.847,-371.488,277.056,100.763,81.0084,-403.448,234.753,-88.4726,481.302,51.3032,-2.81696,-772.595,463.666,44.5379,236.828,107.759,-142.868,159.671,535.702,-755.222,154.992,-239.306,157.091,526.955,169.169,445.165,-97.2285,-106.516,460.745,23.9142,-149.958,-223.191,470.709,132.093,520.039,-41.3069,-356.120,226.287,289.917,-370.270,132.148,-238.603,338.681,-33.7835,633.239,533.832,105.406,-285.945,-15.0775,-434.617,662.383,-408.291,87.4600,620.604,621.973,279.290,130.071,43.8401,-117.270,258.524,-262.565,40.6338,-254.842,125.567,268.181
0.757790,-424.181,-170.900,-579.873,-17.8699,-220.323,-76.4756,-323.572,281.288,131.978,143.834,-315.644,305.781,-39.9127,400.763,110.921,-29.7796,-656.477,367.106,85.0903,110.245,88.1316,-203.339,159.674,566.714,-728.232,66.2696,-187.605,210.040,408.518,133.874,498.891,-84.4052,-85.5058,458.164,52.6452,-224.398,-315.572,461.472,106.170,577.159,44.6187,-335.095,189.945,261.242,-404.971,-39.9812,-260.605,348.221,-102.150,754.701,540.986,83.2769,-223.982,-40.6668,-530.284,707.939,-364.744,80.3976,600.033,653.460,342.943,202.526,76.0655,-87.2120,238.188,-276.929,5.18411,-240.366,83.7908,318.640
0.765935,-450.703,-234.524,-628.012,-29.0273,-241.190,38.8551,-321.007,294.479,187.384,200.330,-243.724,378.695,-52.5344,293.843,157.436,23.4084,-523.899,274.759,111.972,3.93256,60.9281,-254.811,174.101,532.591,-659.929,-31.9568,-127.963,266.218,280.522,152.089,563.978,-46.5858,-54.2455,427.996,78.7935,-225.299,-394.863,461.747,35.8184,549.140,83.3053,-321.004,129.166,263.797,-404.405,-180.632,-246.372,328.163,-167.182,789.893,519.147,72.4804,-230.001,-88.8322,-575.425,719.724,-305.697,90.5339,571.189,689.794,383.191,285.452,34.2604,-92.4754,219.094,-300.246,-29.4971,-227.603,76.7681,376.432
