2H chemical shift (ppm),FA_20240514_2H_yeast_1.6.ser#1,FA_20240514_2H_yeast_1.6.ser#2,FA_20240514_2H_yeast_1.6.ser#3,FA_20240514_2H_yeast_1.6.ser#4,FA_20240514_2H_yeast_1.6.ser#5,FA_20240514_2H_yeast_1.6.ser#6,FA_20240514_2H_yeast_1.6.ser#7,FA_20240514_2H_yeast_1.6.ser#8,FA_20240514_2H_yeast_1.6.ser#9,FA_20240514_2H_yeast_1.6.ser#10,FA_20240514_2H_yeast_1.6.ser#11,FA_20240514_2H_yeast_1.6.ser#12,FA_20240514_2H_yeast_1.6.ser#13,FA_20240514_2H_yeast_1.6.ser#14,FA_20240514_2H_yeast_1.6.ser#15,FA_20240514_2H_yeast_1.6.ser#16,FA_20240514_2H_yeast_1.6.ser#17,FA_20240514_2H_yeast_1.6.ser#18,FA_20240514_2H_yeast_1.6.ser#19,FA_20240514_2H_yeast_1.6.ser#20,FA_20240514_2H_yeast_1.6.ser#21,FA_20240514_2H_yeast_1.6.ser#22,FA_20240514_2H_yeast_1.6.ser#23,FA_20240514_2H_yeast_1.6.ser#24,FA_20240514_2H_yeast_1.6.ser#25,FA_20240514_2H_yeast_1.6.ser#26,FA_20240514_2H_yeast_1.6.ser#27,FA_20240514_2H_yeast_1.6.ser#28,FA_20240514_2H_yeast_1.6.ser#29,FA_20240514_2H_yeast_1.6.ser#30,FA_20240514_2H_yeast_1.6.ser#31,FA_20240514_2H_yeast_1.6.ser#32,FA_20240514_2H_yeast_1.6.ser#33,FA_20240514_2H_yeast_1.6.ser#34,FA_20240514_2H_yeast_1.6.ser#35,FA_20240514_2H_yeast_1.6.ser#36,FA_20240514_2H_yeast_1.6.ser#37,FA_20240514_2H_yeast_1.6.ser#38,FA_20240514_2H_yeast_1.6.ser#39,FA_20240514_2H_yeast_1.6.ser#40,FA_20240514_2H_yeast_1.6.ser#41,FA_20240514_2H_yeast_1.6.ser#42,FA_20240514_2H_yeast_1.6.ser#43,FA_20240514_2H_yeast_1.6.ser#44,FA_20240514_2H_yeast_1.6.ser#45,FA_20240514_2H_yeast_1.6.ser#46,FA_20240514_2H_yeast_1.6.ser#47,FA_20240514_2H_yeast_1.6.ser#48,FA_20240514_2H_yeast_1.6.ser#49,FA_20240514_2H_yeast_1.6.ser#50
8.34895,30350.5,32589.6,33433.9,33188.9,32315.6,30453,32929.6,30547.8,29591.9,32759.8,29252.5,30500.8,29502.9,28227.2,26574.1,27790.4,27427.5,24521.2,27439.3,24602.5,24748,22571.8,24256.5,23163.1,22836.6,23022.4,21745.6,21747.6,20360.2,21841.2,21336.1,20846.9,19910.1,20619.7,21951.5,21771.5,19275.1,16933.5,17466.5,17732.3,18630.5,18660.1,15074.3,18284,18739.3,16697,16546.7,18631.1,17149.6,17239.5
8.35709,35606.2,38436.7,39158.4,38816,37694,35529.3,37915.8,35546.8,34886.2,37760,35147.6,35141.4,34133.1,33715.1,31442.1,32327.7,31851.8,29842.2,31709.1,28877.1,29280,26531.6,28138.4,27143.3,26252.7,26674.8,25364.7,24899.3,23710.7,24970,24705.8,23966.2,23012.5,24464.7,24927.2,24372.3,22885.9,19701.3,20675.9,20544.9,21128.9,21348.5,17655.7,20333.4,20826,18523.3,18313,21758.8,20377.9,19888.7
8.36524,40711.7,44016.3,44450.6,44287.3,42661.7,40065,42341.5,40701.6,40367.2,42636.1,40543.4,39355.4,38874.8,39149.9,36773.9,37547.5,36615.6,35875.5,36460.2,34099.3,34090.5,31394.1,32852.3,31583.1,30514.9,30521.5,30054.5,28451.4,27746.9,28040.9,28687.4,27572.8,26788.3,28684.9,28327.6,28098.8,26586.5,23677.8,24114.8,23729.7,24062.1,24301.4,20549.5,23263.1,23096.6,21386,20043.4,25504.1,24008.5,23385.9
8.37338,44870.2,48533.5,48561.6,48071.6,46391.5,43632.2,45321.7,45249.9,44855.9,46816,44651,42536.8,43200.9,43967.6,41870.1,42735.5,41556.7,41715.1,41439.4,39848.9,38931.3,36766.5,37794.1,36648.3,35318.5,34552.2,35637.3,32802.2,32341.1,31845.6,33023.8,32209.1,31056.3,32940.7,32472.5,32856,30187.3,27947.8,27983.4,27430.3,27916.9,27707.5,23743.8,27047.3,25944,24733.2,22447.3,30049.5,27584,27460.9
8.38153,47434,50828.6,50618.7,49148.2,48431.9,45175.3,46323.8,47869.2,47519.4,49105.5,46760.8,44208.9,45947,47355.2,45409.2,46448.4,45700.1,46063.7,45636.5,44675.2,43383.6,41631.4,42447.4,41675.6,39837.7,38624.5,41201.4,37733.4,37334.3,36413.3,37694.8,37418.1,35501.4,37061.6,36834.3,38242.3,34199.7,32146.9,32349.1,31682.5,32282.8,31774.5,27748.5,31140.3,29296.9,28287.1,26233.5,35211.7,31456.6,31926.4
8.38967,47535.9,50421.9,49894.6,47556.4,48091,44266.4,45021.1,47827,47393,48624.5,46612,44123.4,46040.7,48344.2,46415.7,47791.3,47801.2,48020.8,47781.9,47451.3,46633.9,45112.7,45853,45309.5,43512,41975.9,45381.5,42124.2,41960.8,40555.8,41896.4,42328.8,39758.9,41093.8,40690.4,43232.4,38859.8,36523.3,36590.9,36253.4,37219.4,36104.2,32720.4,34901.5,33204.6,32298,30628.9,40443.6,35720.8,36684.9
8.39782,45279.3,47212.5,46541.9,43913.3,45333.4,41587.2,41883.8,45733.1,44169,45564.3,44478.4,42351.6,43468.1,46153.1,45154.4,46607.4,47066.3,47454.4,47301.5,47807.4,47498.6,46312.4,46905.6,46783.6,45137.7,43792.7,47136.6,45001.5,45234.2,42997.2,44468,45794.2,43151.9,44192.2,43244.6,46504.8,42818.5,40363.2,40255.3,40466.4,42191.7,39681.4,37657.9,38383.5,37635.8,36710.8,34877.6,45058.6,39836.5,41307.9
8.40596,41725.9,42088.5,41465,39065.7,40990.8,37505.4,37812.5,41806.6,38954.8,41093.7,40763.5,39384,39454.6,41554.5,41755.3,43255.6,43790.4,44534.6,43995.3,45653.3,45144.6,44952.6,45294.3,45591.5,44019.9,43354.7,46136.4,45597.6,46183.7,43390.2,44967.2,46860.2,44607,45271.5,43980.2,48039.4,44661.8,42715,42784.2,43440.2,45661.6,42031.4,41762,41667.3,41616.2,41040.7,38554.3,48389.9,43244.2,44820.4
8.41411,37314,36907.5,36237.2,34254.9,35884.4,32558.1,33428.6,36492.1,33498.8,36128,36106.7,35429.2,35338.1,36178.6,36797.8,38638.2,39180.6,40136,38900.9,41433.5,40468.4,41576.7,41491.3,42075.9,40501.1,40403,43061.9,43736,44014,41787.4,43261.5,45428.6,43633.2,43734.5,42711.1,47399.2,43944.3,43210.1,43315.7,44129.6,46592.3,42882.9,44166.4,43989.4,43984.4,44152.7,41421.8,49168.5,45014.4,46447.9
8.42225,33073.9,32673.1,31962.2,29991.9,30684.5,28112.8,29091.5,31056.2,28542.7,31191.8,31260,31124.1,31453.9,31175.6,32033.4,33869.7,34450.8,35408.7,33795.9,36184.5,35209,37250.9,36278.4,37568.5,35725.7,35698.9,38889.7,39937.9,39680,38690,39408.9,41760,40844.5,39919.9,39728.8,44368.7,40953,41478.2,41542.9,42421.6,45195.1,41747.3,44132.3,43970.2,43880.7,44833.6,42876,47509,44323.1,45781.8
