,FA_20240517_2H_yeast_1.3.ser#1,FA_20240517_2H_yeast_1.3.ser#2,FA_20240517_2H_yeast_1.3.ser#3,FA_20240517_2H_yeast_1.3.ser#4,FA_20240517_2H_yeast_1.3.ser#5,FA_20240517_2H_yeast_1.3.ser#6,FA_20240517_2H_yeast_1.3.ser#7,FA_20240517_2H_yeast_1.3.ser#8,FA_20240517_2H_yeast_1.3.ser#9,FA_20240517_2H_yeast_1.3.ser#10,FA_20240517_2H_yeast_1.3.ser#11,FA_20240517_2H_yeast_1.3.ser#12,FA_20240517_2H_yeast_1.3.ser#13,FA_20240517_2H_yeast_1.3.ser#14,FA_20240517_2H_yeast_1.3.ser#15,FA_20240517_2H_yeast_1.3.ser#16,FA_20240517_2H_yeast_1.3.ser#17,FA_20240517_2H_yeast_1.3.ser#18,FA_20240517_2H_yeast_1.3.ser#19,FA_20240517_2H_yeast_1.3.ser#20,FA_20240517_2H_yeast_1.3.ser#21,FA_20240517_2H_yeast_1.3.ser#22,FA_20240517_2H_yeast_1.3.ser#23,FA_20240517_2H_yeast_1.3.ser#24,FA_20240517_2H_yeast_1.3.ser#25,FA_20240517_2H_yeast_1.3.ser#26,FA_20240517_2H_yeast_1.3.ser#27,FA_20240517_2H_yeast_1.3.ser#28,FA_20240517_2H_yeast_1.3.ser#29,FA_20240517_2H_yeast_1.3.ser#30,FA_20240517_2H_yeast_1.3.ser#31,FA_20240517_2H_yeast_1.3.ser#32,FA_20240517_2H_yeast_1.3.ser#33,FA_20240517_2H_yeast_1.3.ser#34,FA_20240517_2H_yeast_1.3.ser#35,FA_20240517_2H_yeast_1.3.ser#36,FA_20240517_2H_yeast_1.3.ser#37,FA_20240517_2H_yeast_1.3.ser#38,FA_20240517_2H_yeast_1.3.ser#39,FA_20240517_2H_yeast_1.3.ser#40,FA_20240517_2H_yeast_1.3.ser#41,FA_20240517_2H_yeast_1.3.ser#42,FA_20240517_2H_yeast_1.3.ser#43,FA_20240517_2H_yeast_1.3.ser#44,FA_20240517_2H_yeast_1.3.ser#45,FA_20240517_2H_yeast_1.3.ser#46,FA_20240517_2H_yeast_1.3.ser#47,FA_20240517_2H_yeast_1.3.ser#48,FA_20240517_2H_yeast_1.3.ser#49,FA_20240517_2H_yeast_1.3.ser#50
3.58412,-740.507,134.607,2745.97,1016.79,225.225,-198.853,1691.08,1193.47,1001.74,-1784.23,272.106,-1216.47,895.095,2100.46,-910.110,334.603,-665.094,1083.49,1248.00,321.882,-43.4253,-2103.22,1533.32,1818.10,24.3037,-1056.35,2432.21,-932.268,-936.930,-726.320,635.820,688.447,-803.197,-1249.69,1180.20,2342.43,176.306,-807.895,405.535,651.657,1044.42,285.987,-1018.42,1235.36,-163.420,-1360.24,814.318,513.687,1061.12,-321.228
3.59227,-951.317,32.7813,3936.07,778.711,160.534,463.717,1482.80,1057.91,1638.07,-1792.03,-404.560,-1472.32,1015.42,2212.49,-947.296,-66.8682,-863.717,689.311,1607.44,531.154,-71.1235,-2099.04,1697.93,1742.62,118.563,-837.946,2166.47,-1261.03,3.44482,-459.552,875.739,230.432,-323.224,-1299.83,715.437,2347.76,-127.437,-189.470,262.669,523.861,1119.39,262.581,-1345.83,1934.31,-389.302,-2082.65,1341.67,464.287,1219.26,-7.46533
3.60041,-1162.13,-69.0449,4377.97,137.670,294.348,364.302,1274.52,922.347,1580.61,-1999.62,-700.787,-1360.89,794.117,2475.98,-984.482,-468.339,-570.108,840.296,1670.05,400.636,-98.8213,-1352.51,1333.91,1667.15,823.722,-58.8262,1777.11,-1589.79,557.302,-575.590,1115.66,201.911,156.749,-896.940,935.643,1980.75,-63.7026,428.955,-372.218,396.065,799.458,465.283,-488.275,1895.06,-384.802,-2015.34,786.341,170.118,1131.05,306.298
3.60856,-1372.94,-170.871,4819.88,-953.182,428.162,264.887,1066.24,786.787,1523.16,-2207.21,-997.015,-1249.47,572.812,2739.47,-1021.67,-869.810,-276.500,991.282,1732.66,270.117,-126.520,-605.975,969.884,1591.67,1528.88,720.294,1387.75,-1918.55,1111.16,-691.628,1355.58,173.389,636.722,-494.053,1155.85,1613.74,0.0322266,1047.38,-1007.10,268.270,479.530,667.985,369.281,1855.81,-380.302,-1948.04,231.015,-124.051,1042.84,620.061
3.61670,-1416.57,-385.381,4510.08,-1776.96,669.499,401.210,1009.96,1244.20,1285.76,-1948.63,-659.177,-1286.29,671.787,2725.27,-1027.37,-1003.12,300.142,425.885,1668.50,461.692,-423.284,269.434,185.792,1654.52,1917.14,677.114,1405.29,-1606.74,940.297,-562.431,735.184,8.41406,608.114,-501.722,828.082,1130.38,226.834,852.289,-663.074,-111.341,817.353,359.589,698.541,1560.25,-53.0286,-1346.78,-53.6431,-76.5632,1531.99,908.457
3.62485,-1460.21,-599.891,4200.28,-1551.17,457.111,537.534,953.674,1701.60,1048.36,-1690.06,-321.339,-1323.11,770.763,2711.07,-1033.08,-1136.43,876.784,-139.511,1604.35,653.267,-720.048,1144.84,-598.301,1717.38,2305.39,633.934,1422.84,-1294.93,769.434,-433.234,114.792,-156.561,579.506,-509.390,500.314,647.009,453.637,657.198,-319.043,-490.952,1155.17,51.1943,1027.80,1264.68,274.245,-745.519,-338.301,-29.0754,2021.15,1196.85
3.63299,-1503.84,-1039.77,3890.48,-1119.23,-180.647,673.858,897.390,2159.01,1504.73,-1031.92,396.938,-992.656,869.739,2393.93,-887.681,-1269.74,1158.09,-377.808,1243.36,1184.63,-1016.81,1442.87,-551.692,1134.02,2327.11,590.753,1440.38,-983.116,598.571,385.015,-264.110,107.958,550.898,-970.085,172.547,535.985,312.962,462.107,-733.546,-870.562,1098.10,119.645,1120.07,1379.22,678.313,-790.389,-373.110,263.181,1935.51,1485.25
3.64114,-1547.47,-1479.65,3580.68,-687.277,-62.1936,810.182,841.105,2616.42,1961.11,-373.788,1115.22,-662.200,968.715,2076.80,-742.282,-1403.05,1439.39,-616.105,882.380,1716.00,-1313.58,1740.91,-505.083,550.655,2348.82,547.573,1457.93,-671.306,427.708,1203.26,-643.011,372.478,522.291,-1430.78,-155.221,424.961,172.287,267.017,-1148.05,-1250.17,1041.02,188.095,1212.33,1493.76,1543.14,-835.260,-407.920,555.438,1849.86,1773.64
3.64928,-1326.15,-1562.69,3710.44,-1290.83,670.681,1417.98,473.972,2528.21,2534.56,-410.727,1294.54,-871.186,619.297,1961.62,-272.638,-1400.74,982.344,-189.981,688.361,1858.02,-1008.90,2054.40,-198.880,447.917,1740.55,193.997,1395.64,-1098.26,1037.93,739.111,-906.199,547.520,882.054,-381.387,154.888,414.780,164.823,663.574,-1311.41,-1126.15,1122.16,16.3066,998.485,1362.24,2448.77,-911.539,233.942,801.801,1035.46,2163.51
3.65743,-1104.83,-1645.74,3840.21,-1894.39,949.829,2025.79,106.839,2440.00,3108.01,-447.666,1473.86,-1080.17,269.879,1846.44,197.006,-1398.43,525.299,236.142,494.342,2000.04,-704.221,2367.90,107.323,345.178,1132.27,-159.580,1333.34,-1525.21,1648.16,274.958,-1169.39,722.561,1241.82,668.008,464.996,404.599,157.358,1060.13,-490.738,-1002.14,1203.30,-155.482,784.636,1230.72,2586.46,-987.818,875.805,1048.16,221.065,2553.37
3.66557,-681.627,-1728.78,3969.97,-1673.29,397.145,2176.40,397.974,2568.23,2987.68,-484.605,1272.74,-677.025,-421.172,1882.73,162.968,-508.409,560.486,989.365,1190.80,1802.27,-19.6841,2681.40,413.526,436.305,707.270,-513.156,1518.29,-1129.23,1871.86,-323.177,-869.095,181.778,787.851,1264.37,364.124,208.246,149.894,1456.69,-223.586,-878.116,1284.44,-327.271,570.787,853.125,2186.59,-1064.10,1267.82,886.577,145.687,2212.66
3.67372,-258.429,-1811.83,4099.74,-1452.19,-155.538,2327.01,689.109,2696.46,2867.36,-521.544,1071.62,-273.878,-1112.22,1919.02,128.930,381.608,595.673,1742.59,1887.26,1604.50,664.853,2994.90,719.729,527.431,282.265,-866.733,1703.23,-733.259,2095.57,-2.57666,-568.803,-359.005,333.885,1860.74,263.251,11.8936,142.430,1853.24,43.5659,-754.098,1365.58,-499.060,356.938,475.535,1786.72,-1140.38,1659.83,724.991,70.3096,1871.94
